symbol,buy_date,earnings_date,sell_date,buy_price,sell_price,earnings_day_return,total_return,earnings_move,earnings_abs_move,earnings_volume_ratio,result,profitable
NVDA,2023-05-24,2023-05-25,2023-05-26,30.512643814086918,38.91365814208984,24.369634015199818,27.532895475037083,24.369634015199825,24.369634015199825,3.3026045768310004,BIG_WIN,True
META,2023-02-01,2023-02-02,2023-02-03,152.05783081054688,185.23606872558597,23.28237832582826,21.819486532315977,23.28237832582827,23.28237832582827,4.380777537451143,BIG_WIN,True
META,2023-04-26,2023-04-27,2023-04-28,207.9474029541016,238.6529235839844,13.925515780294454,14.766003418980025,13.925515780294461,13.925515780294461,3.1282617411697506,BIG_WIN,True
META,2024-02-01,2024-02-02,2024-02-05,392.04150390625,456.2231140136719,20.317635673638467,16.371126390426717,20.317635673638467,20.317635673638467,4.081539628699948,BIG_WIN,True
META,2024-04-24,2024-04-25,2024-04-26,490.5966796875,440.6820068359375,-10.561305787953525,-10.17427857101624,-10.561305787953524,10.561305787953524,4.364175209967231,BIG_LOSS,False
AMZN,2024-08-01,2024-08-02,2024-08-05,184.07000732421875,161.02000427246094,-8.78470841762542,-12.52241111239693,-8.78470841762542,8.78470841762542,3.069306017611224,BIG_LOSS,False
NFLX,2023-05-17,2023-05-18,2023-05-19,33.99599838256836,36.5359992980957,9.21580004683653,7.471470279954312,9.21580004683653,9.21580004683653,3.616066414019662,WIN,True
NFLX,2023-07-19,2023-07-20,2023-07-21,47.75899887084961,42.75,-8.410976749907247,-10.488073429669239,-8.41097674990725,8.41097674990725,3.0707110788263567,BIG_LOSS,False
NFLX,2023-10-18,2023-10-19,2023-10-20,34.61899948120117,40.09600067138672,16.054763975038224,15.82079572565253,16.05476397503822,16.05476397503822,4.189424219791666,BIG_WIN,True
NFLX,2024-01-23,2024-01-24,2024-01-25,49.21900177001953,56.20000076293945,10.703178756681087,14.183544448014821,10.703178756681098,10.703178756681098,4.604965274783473,BIG_WIN,True
NFLX,2024-04-18,2024-04-19,2024-04-22,61.055999755859375,55.459999084472656,-9.093288392014127,-9.165357530403368,-9.09328839201413,9.09328839201413,4.436733587494926,BIG_LOSS,False
NFLX,2024-10-17,2024-10-18,2024-10-21,68.76499938964844,77.20700073242188,11.087036453117584,12.27659625929446,11.087036453117594,11.087036453117594,4.451668459510525,BIG_WIN,True
MRNA,2023-04-14,2023-04-17,2023-04-18,157.10000610351562,142.6300048828125,-8.357736710819054,-9.210694244765731,-8.357736710819053,8.357736710819053,3.4551356004136453,BIG_LOSS,False
MRNA,2023-12-13,2023-12-14,2023-12-15,78.5999984741211,86.01000213623047,9.24936948294544,9.4274857582206,9.249369482945436,9.249369482945436,5.103189922777758,WIN,True
MRNA,2024-05-01,2024-05-02,2024-05-03,111.45999908447266,125.0,12.677191252001723,12.147856654175753,12.67719125200173,12.67719125200173,3.4751174035955397,BIG_WIN,True
MRNA,2024-05-21,2024-05-22,2024-05-23,143.69000244140625,164.00999450683594,13.66831307394348,14.141548973607785,13.668313073943473,13.668313073943473,3.151948706949026,BIG_WIN,True
MRNA,2024-07-31,2024-08-01,2024-08-02,119.22000122070312,86.58000183105469,-21.01157758368463,-27.37795592639228,-21.011577583684627,21.011577583684627,5.317935112948092,BIG_LOSS,False
MRNA,2024-09-11,2024-09-12,2024-09-13,79.51000213623047,68.27999877929688,-12.36322672235904,-14.124013401096864,-12.363226722359034,12.363226722359034,5.073457995738314,BIG_LOSS,False
BNTX,2024-05-21,2024-05-22,2024-05-23,92.06999969482422,99.0,11.111114794006745,7.526882076839364,11.111114794006749,11.111114794006749,5.901175360666693,WIN,True
BNTX,2024-09-06,2024-09-09,2024-09-10,89.94000244140625,100.62999725341795,11.77451195288743,11.88569548791816,11.774511952887433,11.774511952887433,3.2694323385005792,BIG_WIN,True
BNTX,2024-09-12,2024-09-13,2024-09-16,105.0,123.47000122070312,17.52381097702753,17.590477353050595,17.52381097702753,17.52381097702753,5.5870481259702816,BIG_WIN,True
NVAX,2023-02-28,2023-03-01,2023-03-02,9.260000228881836,6.929999828338623,-25.917926955140437,-25.16199074462189,-25.917926955140437,25.917926955140437,3.6009282585679823,BIG_LOSS,False
NVAX,2023-05-08,2023-05-09,2023-05-10,7.449999809265137,8.989999771118164,27.78524431536487,20.671140956779862,27.785244315364864,27.785244315364864,6.560422144222925,BIG_WIN,True
NVAX,2023-07-07,2023-07-10,2023-07-11,7.230000019073486,9.619999885559082,29.460575822746897,33.056706226563335,29.460575822746904,29.460575822746904,4.234857035719045,BIG_WIN,True
NVAX,2023-08-21,2023-08-22,2023-08-23,8.069999694824219,9.010000228881836,13.50681776713045,11.6480863643712,13.506817767130453,13.506817767130453,3.091333676359997,BIG_WIN,True
NVAX,2024-02-21,2024-02-22,2024-02-23,3.9800000190734863,5.289999961853027,22.613067614430435,32.91457126888404,22.613067614430427,22.613067614430427,5.1658308734998855,BIG_WIN,True
NVAX,2024-05-09,2024-05-10,2024-05-13,4.46999979019165,13.109999656677246,98.65773000540095,193.28859668951253,98.65773000540095,98.65773000540095,13.9793122998428,BIG_WIN,True
NVAX,2024-05-10,2024-05-13,2024-05-14,8.880000114440918,13.479999542236328,47.63512936624154,51.801794690461264,47.63512936624154,47.63512936624154,6.811495092172735,BIG_WIN,True
NVAX,2024-10-15,2024-10-16,2024-10-17,12.600000381469728,10.350000381469728,-19.44444991083148,-17.857142316511172,-19.444449910831484,19.444449910831484,4.161720834285383,BIG_LOSS,False
VRTX,2023-12-12,2023-12-13,2023-12-14,357.7300109863281,406.6000061035156,13.233442787583158,13.661139299563892,13.233442787583162,13.233442787583162,3.676850760335511,BIG_WIN,True
VRTX,2024-12-18,2024-12-19,2024-12-20,447.5,397.2699890136719,-11.365359855097765,-11.224583460631983,-11.365359855097768,11.365359855097768,5.174546532081633,BIG_LOSS,False
REGN,2023-06-26,2023-06-27,2023-06-28,780.0537719726562,696.1689453125,-8.706236995224172,-10.753723611645675,-8.70623699522417,8.70623699522417,3.338146258224359,BIG_LOSS,False
GME,2023-03-21,2023-03-22,2023-03-23,17.649999618530273,22.57999992370605,35.24080087895814,27.932013664181042,35.24080087895813,35.24080087895813,9.357213383685314,BIG_WIN,True
GME,2023-06-07,2023-06-08,2023-06-09,26.11000061035156,22.68000030517578,-17.885867357821798,-13.136730084241826,-17.885867357821795,17.885867357821795,3.974251439410315,BIG_LOSS,False
GME,2023-11-27,2023-11-28,2023-11-29,11.90999984741211,16.25,13.266162417704553,36.43996816281167,13.266162417704553,13.266162417704553,3.7671031083530853,BIG_WIN,True
GME,2023-11-28,2023-11-29,2023-11-30,13.489999771118164,14.550000190734863,20.459601747295387,7.85767559378422,20.459601747295398,20.459601747295398,9.272118226600986,WIN,True
