symbol,pattern,entry_date,exit_date,entry_price,exit_price,sl_price,tp_price,sl_pct,shares,net_pnl,pnl_pct,exit_reason,days_held,vol_ratio,year,month
COST,bullish_engulfing,2025-06-02,2025-06-09,1032.03,990.86,992.85,1110.4,3.8,2,-86.39,-3.99,stop_loss,5,0.76,2025,2025-06
MDLZ,hammer,2025-06-30,2025-07-07,66.38,66.91,65.06,69.04,2.0,38,15.07,0.8,stop_loss,4,0.79,2025,2025-06
CL,bullish_engulfing,2024-04-22,2024-04-26,84.13,87.98,82.12,88.16,2.39,30,110.27,4.57,take_profit,4,0.96,2024,2024-04
KHC,hammer,2024-10-31,2024-11-07,31.28,30.56,30.62,32.58,2.09,81,-62.96,-2.29,stop_loss,5,1.34,2024,2024-10
KHC,bullish_engulfing,2025-04-10,2025-04-25,27.79,28.13,26.68,30.02,4.0,91,25.61,1.21,time_exit,10,1.78,2025,2025-04
KHC,hammer,2025-08-27,2025-09-02,26.84,27.05,26.3,27.91,2.0,94,15.07,0.8,stop_loss,3,0.85,2025,2025-08
PLD,bullish_engulfing,2025-07-02,2025-07-16,105.19,111.31,102.02,111.53,3.02,24,141.68,5.82,take_profit,9,1.21,2025,2025-07
EQIX,bullish_engulfing,2024-01-30,2024-02-13,796.35,796.21,772.14,844.77,3.04,3,-5.19,-0.02,time_exit,10,1.43,2024,2024-01
EQIX,bullish_engulfing,2024-08-09,2024-08-23,787.52,803.97,756.02,850.52,4.0,3,44.57,2.09,time_exit,10,1.75,2024,2024-08
EQIX,hammer,2025-01-28,2025-02-11,881.52,920.64,846.26,952.05,4.0,2,74.63,4.44,time_exit,10,1.59,2025,2025-01
O,hammer,2024-07-01,2024-07-11,48.06,49.88,47.1,49.98,2.0,53,91.39,3.79,take_profit,7,1.02,2024,2024-07
O,hammer,2025-02-26,2025-03-11,53.21,54.17,51.08,57.47,4.0,48,40.72,1.8,stop_loss,9,1.35,2025,2025-02
WEC,hammer,2025-11-03,2025-11-17,109.22,110.73,107.04,113.59,2.0,23,29.65,1.38,time_exit,10,1.46,2025,2025-11
ENPH,hammer,2024-02-06,2024-02-07,97.34,104.92,93.45,105.13,4.0,26,191.75,7.78,take_profit,1,1.13,2024,2024-02
FSLR,hammer,2023-05-01,2023-05-02,182.95,175.28,175.63,197.58,4.0,14,-112.38,-4.19,stop_loss,1,1.73,2023,2023-05
SEDG,bullish_engulfing,2025-04-10,2025-04-11,14.06,13.47,13.5,15.18,4.0,184,-113.5,-4.19,stop_loss,1,1.41,2025,2025-04
BE,hammer,2025-11-24,2025-11-25,90.31,86.52,86.7,97.54,4.0,28,-110.95,-4.19,stop_loss,1,1.27,2025,2025-11
CRWD,hammer,2025-03-06,2025-03-07,357.29,342.32,343.0,385.88,4.0,7,-109.74,-4.19,stop_loss,1,1.69,2025,2025-03
DDOG,hammer,2024-11-04,2024-11-06,122.76,127.66,120.18,127.91,2.1,20,93.03,3.99,take_profit,2,1.16,2024,2024-11
SNOW,hammer,2025-03-10,2025-03-11,151.6,147.45,147.75,159.31,2.54,16,-71.19,-2.74,stop_loss,1,1.59,2025,2025-03
MELI,hammer,2025-03-10,2025-03-18,1985.83,2021.5,1906.4,2144.7,4.0,1,31.66,1.8,stop_loss,6,1.41,2025,2025-03
SE,bullish_engulfing,2024-04-17,2024-04-22,56.11,60.48,53.87,60.6,4.0,45,191.3,7.78,take_profit,3,1.19,2024,2024-04
