symbol,type,date,hour,move_pct,return_pct,held,catalyst_type,confidence,gap_gain,rotation_cost,opportunity_cost,net_benefit,worth_rotating
NVDA,OVERNIGHT_GAP,2023-02-23,,12.942076742613043,0.9556272113221003,True,POSSIBLE_CATALYST,70,0.9556272113221003,0.1,2.0,-1.1443727886778996,False
NVDA,OVERNIGHT_GAP,2024-02-22,,11.194279729098287,4.6824397425296755,True,CATALYST,80,4.6824397425296755,0.1,2.0,2.582439742529676,True
NVDA,OVERNIGHT_GAP,2024-07-31,,8.840251199970885,3.649242747125317,True,POSSIBLE_CATALYST,70,3.649242747125317,0.1,2.0,1.5492427471253167,True
AMD,OVERNIGHT_GAP,2023-05-25,,8.349497733272779,2.5914252653606358,True,POSSIBLE_CATALYST,70,2.5914252653606358,0.1,2.0,0.4914252653606357,True
TSLA,OVERNIGHT_GAP,2023-01-26,,10.75954395414693,0.1875370691182982,True,POSSIBLE_CATALYST,70,0.1875370691182982,0.1,2.0,-1.9124629308817018,False
TSLA,OVERNIGHT_GAP,2024-04-29,,11.961498416953841,2.988008140072478,True,POSSIBLE_CATALYST,70,2.988008140072478,0.1,2.0,0.8880081400724777,True
TSLA,OVERNIGHT_GAP,2024-10-24,,14.523753646504305,6.457421441679968,True,CATALYST,80,6.457421441679968,0.1,2.0,4.357421441679969,True
TSLA,OVERNIGHT_GAP,2024-11-06,,13.215880792107376,1.3559508095299915,True,POSSIBLE_CATALYST,70,1.3559508095299915,0.1,2.0,-0.7440491904700086,False
META,OVERNIGHT_GAP,2023-02-02,,19.762286043870574,2.9392514157107144,True,POSSIBLE_CATALYST,70,2.9392514157107144,0.1,2.0,0.8392514157107143,True
META,OVERNIGHT_GAP,2024-02-02,,16.419258614328825,3.348560471383686,True,CATALYST,80,3.348560471383686,0.1,2.0,1.2485604713836858,True
NFLX,OVERNIGHT_GAP,2024-01-24,,9.25658707412986,1.3240315493012098,True,POSSIBLE_CATALYST,70,1.3240315493012098,0.1,2.0,-0.7759684506987903,False
NVAX,OVERNIGHT_GAP,2023-05-09,,20.402691230586807,6.13155155364386,True,MAJOR_CATALYST,90,6.13155155364386,0.1,2.0,4.03155155364386,True
NVAX,OVERNIGHT_GAP,2024-02-22,,12.060301928974027,9.41704198882576,True,CATALYST,80,9.41704198882576,0.1,2.0,7.3170419888257605,True
NVAX,OVERNIGHT_GAP,2024-05-13,,9.12161548990453,35.29411996278603,True,POSSIBLE_CATALYST,70,35.29411996278603,0.1,2.0,33.194119962786026,True
GME,OVERNIGHT_GAP,2023-11-29,,14.825797138128664,4.906392770249695,True,CATALYST,80,4.906392770249695,0.1,2.0,2.806392770249695,True
GME,OVERNIGHT_GAP,2024-05-13,,50.85911531354148,15.603646873736851,True,MAJOR_CATALYST,90,15.603646873736851,0.1,2.0,13.503646873736852,True
GME,OVERNIGHT_GAP,2024-05-28,,21.578949376156455,2.9437242162180284,True,POSSIBLE_CATALYST,70,2.9437242162180284,0.1,2.0,0.8437242162180283,True
AMC,OVERNIGHT_GAP,2023-01-11,,9.113302714279351,11.060951716178941,True,POSSIBLE_CATALYST,70,11.060951716178941,0.1,2.0,8.960951716178942,True
AMC,OVERNIGHT_GAP,2023-04-06,,9.876543209876543,10.112359550561797,True,POSSIBLE_CATALYST,70,10.112359550561797,0.1,2.0,8.012359550561797,True
AMC,OVERNIGHT_GAP,2023-07-24,,32.727276195179336,0.17123025943206735,True,POSSIBLE_CATALYST,70,0.17123025943206735,0.1,2.0,-1.9287697405679327,False
AMC,OVERNIGHT_GAP,2024-04-17,,8.088236260888475,1.360542893691104,True,POSSIBLE_CATALYST,70,1.360542893691104,0.1,2.0,-0.7394571063088962,False
AMC,OVERNIGHT_GAP,2024-05-13,,20.962195089478655,47.443184242699274,True,MAJOR_CATALYST,90,47.443184242699274,0.1,2.0,45.34318424269927,True
PLTR,OVERNIGHT_GAP,2023-02-14,,12.877792403150835,7.334110631547768,True,CATALYST,80,7.334110631547768,0.1,2.0,5.234110631547768,True
PLTR,OVERNIGHT_GAP,2023-05-09,,19.12145400098423,3.579174773846279,True,CATALYST,80,3.579174773846279,0.1,2.0,1.479174773846279,True
PLTR,OVERNIGHT_GAP,2023-11-02,,17.158173276486163,2.80320242534443,True,POSSIBLE_CATALYST,70,2.80320242534443,0.1,2.0,0.70320242534443,True
PLTR,OVERNIGHT_GAP,2024-02-06,,21.41148367659716,7.733998330928947,True,MAJOR_CATALYST,90,7.733998330928947,0.1,2.0,5.633998330928947,True
PLTR,OVERNIGHT_GAP,2024-03-06,,8.147839469012071,1.5922324171344056,True,POSSIBLE_CATALYST,70,1.5922324171344056,0.1,2.0,-0.5077675828655945,False
PLTR,OVERNIGHT_GAP,2024-11-05,,15.575949738484585,6.832428784082399,True,MAJOR_CATALYST,90,6.832428784082399,0.1,2.0,4.7324287840823995,True
