symbol,date,gap_pct,day_return,high_from_open,gap_held,catalyst_type,confidence,open,close,high
NVDA,2024-02-22,11.194258113638671,4.682439742529684,4.7317498835888125,True,CATALYST,80,74.9832259524774,78.49427032470703,78.53124465919488
TSLA,2024-10-24,14.523753646504305,6.457421441679968,7.12767817698749,True,CATALYST,80,244.67999267578125,260.4800109863281,262.1199951171875
META,2024-02-02,16.41926614638562,3.3485604713836965,5.735418842798152,True,CATALYST,80,456.41184183690996,471.695068359375,482.5889726143862
NVAX,2023-05-09,20.402691230586807,6.13155155364386,26.64436252508711,True,MAJOR_CATALYST,90,8.970000267028809,9.520000457763672,11.359999656677246
NVAX,2024-02-22,12.060301928974027,9.41704198882576,22.421524471902853,True,CATALYST,80,4.460000038146973,4.880000114440918,5.460000038146973
GME,2023-11-29,14.825797138128664,4.906392770249695,13.363458524278554,True,CATALYST,80,15.489999771118164,16.25,17.559999465942383
GME,2024-05-13,50.85911531354148,15.603646873736851,45.02657760685823,True,MAJOR_CATALYST,90,26.34000015258789,30.450000762939453,38.20000076293945
AMC,2024-05-13,20.962195089478655,47.443184242699274,67.04545870177019,True,MAJOR_CATALYST,90,3.5199999809265137,5.190000057220459,5.880000114440918
PLTR,2023-02-14,12.877792403150835,7.334110631547768,8.207216661034177,True,CATALYST,80,8.59000015258789,9.220000267028809,9.295000076293945
PLTR,2023-05-09,19.12145400098423,3.579174773846279,5.097606287878686,True,CATALYST,80,9.220000267028809,9.550000190734863,9.6899995803833
PLTR,2024-02-06,21.41148367659716,7.733998330928947,9.261089353555365,True,MAJOR_CATALYST,90,20.299999237060547,21.8700008392334,22.18000030517578
PLTR,2024-11-05,15.575949738484585,6.832428784082399,7.762223370687503,True,MAJOR_CATALYST,90,47.86000061035156,51.130001068115234,51.57500076293945
COIN,2024-11-06,14.188486317320967,14.82300996223677,16.344589871120828,True,CATALYST,80,221.47999572753906,254.30999755859375,257.67999267578125
COIN,2024-11-11,10.92192080623941,7.96843024552063,11.504774424377153,True,CATALYST,80,300.30999755859375,324.239990234375,334.8599853515625
HOOD,2024-11-06,11.097758651308842,7.681215662737285,8.402452081389931,True,CATALYST,80,27.729999542236328,29.860000610351562,30.059999465942383
SNOW,2024-11-21,24.89157419846448,6.256983715977967,8.302121384305096,True,MAJOR_CATALYST,90,161.25999450683594,171.35000610351562,174.6479949951172
DDOG,2023-11-07,24.437453257372507,3.2427509382213255,5.4955071813344265,True,CATALYST,80,98.98999786376953,102.19999694824219,104.43000030517578
