strategy,win_rate,avg_return,frequency,recommendation
Overnight Gap Scanner,100.0,13.289661560613904,1.9411764705882353,IMPLEMENT
Next-Day Surge Forward,5.244755244755245,0.39437601221055646,24.941860465116278,SKIP
Earnings Calendar,56.849315068493155,6.041584638478677,6.3755458515283845,IMPLEMENT
Post-Earnings Momentum,57.6271186440678,3.2406845298776426,2.2796352583586628,IMPLEMENT
