scan_ts,date,mfo,zone,orig_sym,orig_price,new_sym,new_price,orig_pnl,new_pnl,note
2026-04-28 12:20:10,2026-04-28,120,Z4,WDAY,120.71,,,,,no_pass_after_fix
2026-04-29 09:30:54,2026-04-29,5,Z1,WELL,217.14,WELL,217.14,-2.4256884959012543,-2.4256884959012543,OK
2026-04-30 03:29:53,2026-04-30,30,Z3,AMD,344.075,MRVL,160.64,2.7264186587226686,2.7137450199203252,CHANGED
2026-04-30 03:29:58,2026-04-30,30,Z3,AMD,344.075,MRVL,160.64,2.7264186587226686,2.7137450199203252,CHANGED
2026-04-30 03:30:04,2026-04-30,30,Z3,AMD,344.075,MRVL,160.64,2.7264186587226686,2.7137450199203252,CHANGED
2026-04-30 03:30:09,2026-04-30,30,Z3,AMD,344.075,MRVL,160.64,2.7264186587226686,2.7137450199203252,CHANGED
2026-04-30 03:30:15,2026-04-30,30,Z3,AMD,344.075,MRVL,160.64,2.7264186587226686,2.7137450199203252,CHANGED
2026-04-30 03:30:19,2026-04-30,30,Z3,AMD,344.075,MRVL,160.64,2.7264186587226686,2.7137450199203252,CHANGED
2026-04-30 03:30:26,2026-04-30,30,Z3,AMD,344.075,MRVL,160.64,2.7264186587226686,2.7137450199203252,CHANGED
2026-04-30 03:30:31,2026-04-30,30,Z3,AMD,344.075,MRVL,160.64,2.7264186587226686,2.7137450199203252,CHANGED
2026-04-30 03:30:36,2026-04-30,30,Z3,AMD,344.075,MRVL,160.64,2.7264186587226686,2.7137450199203252,CHANGED
2026-04-30 03:30:43,2026-04-30,30,Z3,AMD,344.075,MRVL,160.64,2.7264186587226686,2.7137450199203252,CHANGED
2026-04-30 03:30:47,2026-04-30,30,Z3,AMD,344.075,MRVL,160.64,2.7264186587226686,2.7137450199203252,CHANGED
2026-04-30 03:30:53,2026-04-30,30,Z3,AMD,344.075,MRVL,160.64,2.7264186587226686,2.7137450199203252,CHANGED
2026-04-30 03:31:00,2026-04-30,30,Z3,AMD,344.075,MRVL,160.64,2.7264186587226686,2.7137450199203252,CHANGED
2026-04-30 03:31:04,2026-04-30,30,Z3,AMD,344.075,MRVL,160.64,2.7264186587226686,2.7137450199203252,CHANGED
2026-04-30 03:31:08,2026-04-30,30,Z3,AMD,344.075,MRVL,160.64,2.7264186587226686,2.7137450199203252,CHANGED
2026-04-30 05:48:52,2026-04-30,30,Z3,AMD,344.075,AMD,344.075,2.7264186587226686,2.7264186587226686,OK
2026-04-30 05:48:57,2026-04-30,30,Z3,AMD,344.075,AMD,344.075,2.7264186587226686,2.7264186587226686,OK
2026-04-30 05:49:01,2026-04-30,30,Z3,AMD,344.075,AMD,344.075,2.7264186587226686,2.7264186587226686,OK
2026-04-30 05:54:15,2026-04-30,30,Z3,AMD,344.075,AMD,344.075,2.7264186587226686,2.7264186587226686,OK
2026-04-30 05:54:22,2026-04-30,30,Z3,AMD,344.075,AMD,344.075,2.7264186587226686,2.7264186587226686,OK
2026-04-30 05:54:29,2026-04-30,30,Z3,AMD,344.075,AMD,344.075,2.7264186587226686,2.7264186587226686,OK
2026-04-30 05:55:10,2026-04-30,30,Z3,AMD,344.075,AMD,344.075,2.7264186587226686,2.7264186587226686,OK
2026-04-30 05:55:14,2026-04-30,30,Z3,AMD,344.075,AMD,344.075,2.7264186587226686,2.7264186587226686,OK
2026-04-30 05:55:18,2026-04-30,30,Z3,AMD,344.075,AMD,344.075,2.7264186587226686,2.7264186587226686,OK
2026-04-30 05:55:30,2026-04-30,30,Z3,AMD,344.075,AMD,344.075,2.7264186587226686,2.7264186587226686,OK
2026-04-30 05:55:35,2026-04-30,30,Z3,AMD,344.075,AMD,344.075,2.7264186587226686,2.7264186587226686,OK
2026-04-30 05:55:40,2026-04-30,30,Z3,AMD,344.075,AMD,344.075,2.7264186587226686,2.7264186587226686,OK
2026-04-30 05:55:57,2026-04-30,30,Z3,AMD,344.075,AMD,344.075,2.7264186587226686,2.7264186587226686,OK
2026-04-30 05:56:02,2026-04-30,30,Z3,AMD,344.075,AMD,344.075,2.7264186587226686,2.7264186587226686,OK
2026-04-30 05:56:06,2026-04-30,30,Z3,AMD,344.075,AMD,344.075,2.7264186587226686,2.7264186587226686,OK
2026-04-30 05:58:20,2026-04-30,30,Z3,AMD,344.075,AMD,344.075,2.7264186587226686,2.7264186587226686,OK
2026-04-30 05:58:25,2026-04-30,30,Z3,AMD,344.075,AMD,344.075,2.7264186587226686,2.7264186587226686,OK
2026-04-30 05:58:29,2026-04-30,30,Z3,AMD,344.075,AMD,344.075,2.7264186587226686,2.7264186587226686,OK
2026-04-30 06:01:37,2026-04-30,5,Z1,EXPE,248.78,EXPE,248.78,-0.26480424471420394,-0.26480424471420394,OK
2026-04-30 06:01:44,2026-04-30,5,Z1,EXPE,248.78,EXPE,248.78,-0.26480424471420394,-0.26480424471420394,OK
