feature,n,mean_abs_diff,p50_abs_diff,p95_abs_diff,max_abs_diff,pct_diff_gt_tol,tol
gain_from_open_native vs gain_from_open,196,1.3783211524102041,0.8035079703046397,4.964593301435411,4.964593301435411,64.28571428571429,0.5
gain_pct_extra vs gain_from_open,196,1.3783211524102041,0.8035079703046397,4.964593301435411,4.964593301435411,64.28571428571429,0.5
beta_native vs beta,196,0.13157142857142853,0.0040000000000000036,0.43900000000000006,0.8399999999999999,43.87755102040816,0.05
beta_extra vs beta,196,0.13157142857142853,0.0040000000000000036,0.43900000000000006,0.8399999999999999,43.87755102040816,0.05
"pred_ratio_extra (live-only, profile)",104,0.9881749999999999,0.9887,0.991185,0.9978,29.807692307692307,
