label,threshold,tp,sl,window,n,n_per_year,wr_cons,wr_mid,avg_cons,avg_mid,avg_opt,std,sharpe_mid
L_touch_3_in_7d,0.9,5.0,-4.0,7,4082,1231.0,0.376,0.852,-0.651,1.492,3.635,3.06,2.93
L_touch_3_in_7d,0.9,2.5,-2.0,7,4082,1231.0,0.195,0.925,-1.121,0.52,2.16,1.139,2.74
L_touch_3_in_7d,0.9,4.0,none,7,4082,1231.0,0.9,0.9,2.445,2.445,2.445,5.408,2.71
L_touch_3_in_7d,0.9,5.0,-5.0,7,4082,1231.0,0.457,0.457,-0.47,1.545,3.56,3.466,2.67
L_touch_3_in_7d,0.9,3.0,-2.5,7,4082,1231.0,0.235,0.91,-1.207,0.65,2.507,1.515,2.57
L_touch_3_in_7d,0.9,4.0,-4.0,7,4082,1231.0,0.377,0.377,-0.994,1.037,3.069,2.592,2.4
L_touch_3_in_7d,0.9,3.0,none,7,4082,1231.0,0.918,0.918,1.779,1.779,1.779,4.921,2.17
L_touch_3_in_7d,0.9,3.0,-3.0,7,4082,1231.0,0.281,0.281,-1.313,0.576,2.464,1.732,1.99
L_touch_3_in_7d,0.9,2.5,none,7,4082,1231.0,0.929,0.929,1.458,1.458,1.458,4.593,1.91
L_touch_3_in_7d,0.9,2.5,-2.5,7,4082,1231.0,0.235,0.235,-1.324,0.399,2.123,1.335,1.79
L_touch_3_in_7d,0.9,2.0,none,7,4082,1231.0,0.941,0.941,1.166,1.166,1.166,3.958,1.77
L_touch_3_in_7d,0.9,2.0,-2.0,7,4082,1231.0,0.195,0.195,-1.219,0.268,1.754,0.977,1.64
L_touch_3_in_7d,0.9,1.5,none,7,4082,1231.0,0.95,0.95,0.801,0.801,0.801,3.614,1.33
L_touch_7_in_30d,0.9,7.0,-2.0,30,1895,585.0,0.167,0.916,-0.494,2.875,6.245,2.224,3.75
L_touch_7_in_30d,0.9,5.0,-2.0,30,1895,585.0,0.167,0.938,-0.829,1.868,4.564,1.636,3.31
L_touch_7_in_30d,0.9,7.0,-2.5,30,1895,585.0,0.191,0.916,-0.69,2.756,6.203,2.436,3.28
L_touch_7_in_30d,0.9,7.0,-3.0,30,1895,585.0,0.222,0.916,-0.784,2.689,6.161,2.677,2.91
L_touch_7_in_30d,0.9,4.0,-2.0,30,1895,585.0,0.167,0.95,-0.996,1.351,3.699,1.354,2.89
L_touch_7_in_30d,0.9,5.0,-2.5,30,1895,585.0,0.191,0.938,-1.071,1.731,4.533,1.823,2.75
L_touch_7_in_30d,0.9,7.0,-4.0,30,1895,585.0,0.282,0.916,-0.9,2.588,6.077,3.143,2.39
L_touch_7_in_30d,0.9,5.0,-3.0,30,1895,585.0,0.222,0.938,-1.227,1.637,4.502,2.034,2.33
L_touch_7_in_30d,0.9,4.0,-2.5,30,1895,585.0,0.191,0.95,-1.262,1.206,3.674,1.528,2.29
L_touch_7_in_30d,0.9,3.0,-2.0,30,1895,585.0,0.167,0.961,-1.164,0.822,2.807,1.088,2.19
L_touch_7_in_30d,0.9,7.0,-5.0,30,1895,585.0,0.34,0.916,-0.916,2.539,5.993,3.592,2.05
L_touch_7_in_30d,0.9,4.0,-3.0,30,1895,585.0,0.222,0.95,-1.449,1.1,3.649,1.723,1.85
L_touch_7_in_30d,0.9,5.0,-4.0,30,1895,585.0,0.282,0.938,-1.464,1.488,4.44,2.448,1.76
L_touch_7_in_30d,0.9,7.0,-7.0,30,1895,585.0,0.47,0.47,-0.417,2.704,5.825,4.454,1.76
L_touch_7_in_30d,0.9,2.5,-2.0,30,1895,585.0,0.167,0.966,-1.247,0.549,2.346,0.965,1.65
L_touch_7_in_30d,0.9,3.0,-2.5,30,1895,585.0,0.191,0.961,-1.452,0.668,2.788,1.248,1.55
L_touch_7_in_30d,0.9,7.0,none,30,1895,585.0,0.92,0.92,4.688,4.688,4.688,9.12,1.49
L_touch_7_in_30d,0.9,5.0,-5.0,30,1895,585.0,0.34,0.34,-1.596,1.391,4.377,2.852,1.41
L_touch_7_in_30d,0.9,5.0,none,30,1895,585.0,0.94,0.94,3.339,3.339,3.339,7.645,1.27
L_touch_7_in_30d,0.9,4.0,-4.0,30,1895,585.0,0.282,0.282,-1.746,0.927,3.599,2.11,1.27
L_touch_7_in_30d,0.9,4.0,none,30,1895,585.0,0.952,0.952,2.722,2.722,2.722,6.729,1.17
L_touch_7_in_30d,0.9,3.0,-3.0,30,1895,585.0,0.222,0.222,-1.67,0.549,2.769,1.428,1.11
L_touch_7_in_30d,0.9,2.5,-2.5,30,1895,585.0,0.191,0.191,-1.547,0.391,2.328,1.119,1.01
L_touch_7_in_30d,0.9,2.0,-2.0,30,1895,585.0,0.167,0.167,-1.331,0.273,1.878,0.847,0.94
L_touch_7_in_30d,0.9,3.0,none,30,1895,585.0,0.963,0.963,1.955,1.955,1.955,6.307,0.9
L_touch_7_in_30d,0.9,2.5,none,30,1895,585.0,0.966,0.966,1.552,1.552,1.552,6.013,0.75
L_touch_7_in_30d,0.9,2.0,none,30,1895,585.0,0.97,0.97,1.141,1.141,1.141,5.791,0.57
L_touch_7_in_30d,0.9,1.5,none,30,1895,585.0,0.974,0.974,0.79,0.79,0.79,5.098,0.45
L_touch_5_in_30d,0.9,7.0,-2.0,30,11732,3595.0,0.169,0.869,-0.481,2.669,5.818,2.459,3.15
L_touch_5_in_30d,0.9,5.0,-2.0,30,11732,3595.0,0.169,0.912,-0.818,1.783,4.384,1.751,2.95
L_touch_5_in_30d,0.9,7.0,-2.5,30,11732,3595.0,0.199,0.869,-0.609,2.573,5.755,2.708,2.75
L_touch_5_in_30d,0.9,4.0,-2.0,30,11732,3595.0,0.169,0.932,-0.987,1.302,3.59,1.429,2.64
L_touch_5_in_30d,0.9,5.0,-2.5,30,11732,3595.0,0.199,0.912,-1.005,1.667,4.34,1.966,2.46
L_touch_5_in_30d,0.9,7.0,-3.0,30,11732,3595.0,0.235,0.869,-0.655,2.519,5.693,2.974,2.45
L_touch_5_in_30d,0.9,5.0,-3.0,30,11732,3595.0,0.235,0.912,-1.121,1.587,4.296,2.195,2.1
L_touch_5_in_30d,0.9,4.0,-2.5,30,11732,3595.0,0.199,0.932,-1.205,1.176,3.556,1.626,2.1
