column,window_days,n,mean,median,p5,p25,p75,p95,p99
fhigh_pct_3d,3,1571621,3.545517076788673,2.2292466128458646,-0.30783404824993116,0.9482815124195205,4.307529339357073,10.429715071665209,20.232263502515604
flow_pct_3d,3,1571621,-2.9957222944434334,-2.0606979946969477,-9.768640210622276,-4.096660864940168,-0.7839978932628512,0.4595310192262221,2.0953307523770377
fclose_pct_3d,3,1571621,0.42435861423076404,0.1770120753321618,-7.107543575488802,-2.020519037296841,2.361358916419587,7.597176045587653,15.6249980545707
fhigh_pct_5d,5,1571611,4.820506764848825,2.9801226342059195,-0.12427221175988419,1.305675490139504,5.698186295297656,13.6569441045016,26.438854110339992
flow_pct_5d,5,1571611,-3.9447149232661807,-2.71567704566499,-12.542206642846411,-5.317607617186448,-1.0988983374410295,0.2871874237748322,1.8216459025404108
fclose_pct_5d,5,1571616,0.7104867316906286,0.2860377076124697,-9.101439832826186,-2.5911512889819823,3.1645096839968474,9.931827697571448,20.243683189305578
fhigh_pct_7d,7,1571601,5.897819105301026,3.6081214437115774,0.0,1.6049176561157932,6.8550133159559365,16.34741989214662,31.387834528957022
flow_pct_7d,7,1571601,-4.6973964821676075,-3.244516552089291,-14.705881940452297,-6.31881181291328,-1.3467130053204346,0.17893208050272774,1.6500930429271636
fclose_pct_7d,7,1571616,0.9892202704172852,0.39612484797362424,-10.593602930466279,-3.0503597340974324,3.854348044975182,11.882379368114194,23.742805504624926
fhigh_pct_14d,14,1571566,9.045462458877479,5.332755034499332,0.24856630545103145,2.4104346870924287,10.057086809046622,23.842731402639515,45.52233991327553
flow_pct_14d,14,1571566,-6.641699117152237,-4.643320154049838,-20.23346181202399,-8.930549722675222,-1.9920895442715394,-0.010417319833183784,1.347704527384899
fclose_pct_14d,14,1571616,2.0300959074402645,0.7071636268022992,-14.62620780742669,-4.2304144625325,5.798743071453369,17.496808254749666,34.93342761581442
fhigh_pct_30d,30,1571486,14.679905124337365,8.23047455635185,0.5821165372040258,3.737949764954763,15.456100808719894,36.78829189796118,71.50537077574842
flow_pct_30d,30,1571486,-9.524876091563536,-6.787140943254997,-28.518890232530918,-12.859750135413933,-2.9663165077871607,-0.2712420789024473,1.0215445002844288
fclose_pct_30d,30,1571616,4.374894823163353,1.3441920437975179,-20.514534649064853,-5.936345901457141,9.16608121850595,27.105859043566458,54.82677046246451
