year,mean,count,label_name,overall_rate
2020,0.6828950035471775,236808,L_touch_1.5_in_3d,0.634730241936253
2021,0.6286197979043435,246319,L_touch_1.5_in_3d,0.634730241936253
2022,0.657648544097891,247132,L_touch_1.5_in_3d,0.634730241936253
2023,0.6034052176459582,245858,L_touch_1.5_in_3d,0.634730241936253
2024,0.6002842494489656,249077,L_touch_1.5_in_3d,0.634730241936253
2025,0.6285590350993457,248979,L_touch_1.5_in_3d,0.634730241936253
2026,0.6576019652029154,98514,L_touch_1.5_in_3d,0.634730241936253
2020,0.6041561095908922,236808,L_touch_2_in_3d,0.5396032395511631
2021,0.5251076855622181,246319,L_touch_2_in_3d,0.5396032395511631
2022,0.5718482430442031,247132,L_touch_2_in_3d,0.5396032395511631
2023,0.501830324821645,245858,L_touch_2_in_3d,0.5396032395511631
2024,0.49571417674052604,249077,L_touch_2_in_3d,0.5396032395511631
2025,0.5310488033127292,248979,L_touch_2_in_3d,0.5396032395511631
2026,0.5666402744787543,98514,L_touch_2_in_3d,0.5396032395511631
2020,0.7599532110401676,236808,L_touch_1.5_in_5d,0.7177906347544044
2021,0.714118683495792,246319,L_touch_1.5_in_5d,0.7177906347544044
2022,0.7279874722820193,247132,L_touch_1.5_in_5d,0.7177906347544044
2023,0.691224202588486,245858,L_touch_1.5_in_5d,0.7177906347544044
2024,0.694435857184726,249077,L_touch_1.5_in_5d,0.7177906347544044
2025,0.716775310367541,248979,L_touch_1.5_in_5d,0.7177906347544044
2026,0.727957447672412,98514,L_touch_1.5_in_5d,0.7177906347544044
2020,0.6964080605384954,236808,L_touch_2_in_5d,0.6386757186903688
2021,0.6267198226689781,246319,L_touch_2_in_5d,0.6386757186903688
2022,0.6581381609827947,247132,L_touch_2_in_5d,0.6386757186903688
2023,0.6056707530363055,245858,L_touch_2_in_5d,0.6386757186903688
2024,0.6061780092100033,249077,L_touch_2_in_5d,0.6386757186903688
2025,0.6353628217640845,248979,L_touch_2_in_5d,0.6386757186903688
2026,0.6538766063706681,98514,L_touch_2_in_5d,0.6386757186903688
2020,0.5792667477450086,236808,L_touch_3_in_5d,0.4970327852903979
2021,0.47183936277753646,246319,L_touch_3_in_5d,0.4970327852903979
2022,0.5282602010261722,247132,L_touch_3_in_5d,0.4970327852903979
2023,0.4574917228644177,245858,L_touch_3_in_5d,0.4970327852903979
2024,0.45284389967760974,249077,L_touch_3_in_5d,0.4970327852903979
2025,0.4877961595154611,248979,L_touch_3_in_5d,0.4970327852903979
2026,0.5177639726333313,98514,L_touch_3_in_5d,0.4970327852903979
2020,0.7481377318333841,236808,L_touch_2_in_7d,0.6956749817350815
2021,0.6844985567495808,246319,L_touch_2_in_7d,0.6956749817350815
2022,0.7095843516825017,247132,L_touch_2_in_7d,0.6956749817350815
2023,0.6673404973602649,245858,L_touch_2_in_7d,0.6956749817350815
2024,0.6715674269402635,249077,L_touch_2_in_7d,0.6956749817350815
2025,0.6946288642817265,248979,L_touch_2_in_7d,0.6956749817350815
2026,0.6969263251923584,98514,L_touch_2_in_7d,0.6956749817350815
2020,0.6444714705584271,236808,L_touch_3_in_7d,0.5686077394929824
2021,0.5448260182933513,246319,L_touch_3_in_7d,0.5686077394929824
2022,0.5948116795882362,247132,L_touch_3_in_7d,0.5686077394929824
2023,0.5329092402931773,245858,L_touch_3_in_7d,0.5686077394929824
2024,0.5324136712743449,249077,L_touch_3_in_7d,0.5686077394929824
2025,0.5623044513794336,248979,L_touch_3_in_7d,0.5686077394929824
2026,0.5765068924213818,98514,L_touch_3_in_7d,0.5686077394929824
2020,0.47185905881558055,236808,L_touch_5_in_7d,0.37035087083443813
2021,0.3349518307560521,246319,L_touch_5_in_7d,0.37035087083443813
2022,0.4002435945162909,247132,L_touch_5_in_7d,0.37035087083443813
2023,0.3296211634358044,245858,L_touch_5_in_7d,0.37035087083443813
2024,0.3245703135978031,249077,L_touch_5_in_7d,0.37035087083443813
2025,0.3596568385285506,248979,L_touch_5_in_7d,0.37035087083443813
2026,0.38429055768723225,98514,L_touch_5_in_7d,0.37035087083443813
2020,0.7591255362994493,236808,L_touch_3_in_14d,0.6940802588181882
2021,0.6797689175418867,246319,L_touch_3_in_14d,0.6940802588181882
2022,0.7035592315038117,247132,L_touch_3_in_14d,0.6940802588181882
2023,0.6630209307811826,245858,L_touch_3_in_14d,0.6940802588181882
2024,0.6792839162186793,249077,L_touch_3_in_14d,0.6940802588181882
2025,0.6922511537117588,248979,L_touch_3_in_14d,0.6940802588181882
2026,0.6692754329333902,98514,L_touch_3_in_14d,0.6940802588181882
2020,0.622563426911253,236808,L_touch_5_in_14d,0.5246085203222256
2021,0.4955809336673176,246319,L_touch_5_in_14d,0.5246085203222256
2022,0.5419977987472282,247132,L_touch_5_in_14d,0.5246085203222256
2023,0.4847472931529582,245858,L_touch_5_in_14d,0.5246085203222256
2024,0.49670985277645063,249077,L_touch_5_in_14d,0.5246085203222256
2025,0.5157824555484599,248979,L_touch_5_in_14d,0.5246085203222256
2026,0.5104249142253893,98514,L_touch_5_in_14d,0.5246085203222256
2020,0.7557261579000709,236808,L_touch_5_in_30d,0.672685664725403
2021,0.6623524778843695,246319,L_touch_5_in_30d,0.672685664725403
2022,0.6631638152889954,247132,L_touch_5_in_30d,0.672685664725403
2023,0.6381122436528402,245858,L_touch_5_in_30d,0.672685664725403
2024,0.6755541459066875,249077,L_touch_5_in_30d,0.672685664725403
2025,0.6696066736552079,248979,L_touch_5_in_30d,0.672685664725403
2026,0.6096087865684066,98514,L_touch_5_in_30d,0.672685664725403
2020,0.6682037768994291,236808,L_touch_7_in_30d,0.560983208991999
2021,0.5412371761821053,246319,L_touch_7_in_30d,0.560983208991999
2022,0.5535139115938041,247132,L_touch_7_in_30d,0.560983208991999
2023,0.5191370628574218,245858,L_touch_7_in_30d,0.560983208991999
2024,0.5540254620057251,249077,L_touch_7_in_30d,0.560983208991999
2025,0.5541431205041389,248979,L_touch_7_in_30d,0.560983208991999
2026,0.5106685344215035,98514,L_touch_7_in_30d,0.560983208991999
2020,0.550078544643762,236808,L_touch_10_in_30d,0.42155749999841036
2021,0.3882688708544611,246319,L_touch_10_in_30d,0.42155749999841036
2022,0.41710502889144263,247132,L_touch_10_in_30d,0.42155749999841036
2023,0.37689641988464884,245858,L_touch_10_in_30d,0.42155749999841036
2024,0.40151840595478505,249077,L_touch_10_in_30d,0.42155749999841036
2025,0.41157687997782944,248979,L_touch_10_in_30d,0.42155749999841036
2026,0.3943703433014597,98514,L_touch_10_in_30d,0.42155749999841036
2020,0.40801408736191347,236808,L_touch_2_dd-3_in_5d,0.42325268791565007
2021,0.43556120315525804,246319,L_touch_2_dd-3_in_5d,0.42325268791565007
2022,0.3798374957512584,247132,L_touch_2_dd-3_in_5d,0.42325268791565007
2023,0.4386922532518771,245858,L_touch_2_dd-3_in_5d,0.42325268791565007
2024,0.450928829237545,249077,L_touch_2_dd-3_in_5d,0.42325268791565007
2025,0.43326545612280554,248979,L_touch_2_dd-3_in_5d,0.42325268791565007
2026,0.40420650871957287,98514,L_touch_2_dd-3_in_5d,0.42325268791565007
2020,0.520941015506233,236808,L_touch_2_dd-5_in_5d,0.5218120325277693
2021,0.5285178975231306,246319,L_touch_2_dd-5_in_5d,0.5218120325277693
2022,0.5003034815402295,247132,L_touch_2_dd-5_in_5d,0.5218120325277693
2023,0.5273694571663318,245858,L_touch_2_dd-5_in_5d,0.5218120325277693
2024,0.5285233080533329,249077,L_touch_2_dd-5_in_5d,0.5218120325277693
2025,0.528044533876351,248979,L_touch_2_dd-5_in_5d,0.5218120325277693
2026,0.514505552510303,98514,L_touch_2_dd-5_in_5d,0.5218120325277693
2020,0.34442670855714336,236808,L_touch_3_dd-3_in_7d,0.35149270007318684
2021,0.35888015134845463,246319,L_touch_3_dd-3_in_7d,0.35149270007318684
2022,0.31496932813233414,247132,L_touch_3_dd-3_in_7d,0.35149270007318684
2023,0.3633845553124161,245858,L_touch_3_dd-3_in_7d,0.35149270007318684
2024,0.37378401056701344,249077,L_touch_3_dd-3_in_7d,0.35149270007318684
2025,0.35939577233421294,248979,L_touch_3_dd-3_in_7d,0.35149270007318684
2026,0.3356172726719045,98514,L_touch_3_dd-3_in_7d,0.35149270007318684
2020,0.4506857876423094,236808,L_touch_3_dd-5_in_7d,0.4428395478566301
2021,0.44176454110320357,246319,L_touch_3_dd-5_in_7d,0.4428395478566301
2022,0.424975316834728,247132,L_touch_3_dd-5_in_7d,0.4428395478566301
2023,0.44720936475526524,245858,L_touch_3_dd-5_in_7d,0.4428395478566301
2024,0.44756440779357387,249077,L_touch_3_dd-5_in_7d,0.4428395478566301
2025,0.44888524735017815,248979,L_touch_3_dd-5_in_7d,0.4428395478566301
2026,0.43334957467974095,98514,L_touch_3_dd-5_in_7d,0.4428395478566301
2020,0.3762795175838654,236808,L_touch_5_dd-5_in_14d,0.3578811295572482
