sector,mean,count,label
Energy,0.636,109188,L_touch_3_in_7d
Technology,0.631,259796,L_touch_3_in_7d
Consumer Cyclical,0.61,182187,L_touch_3_in_7d
Basic Materials,0.608,88537,L_touch_3_in_7d
Communication Services,0.584,67383,L_touch_3_in_7d
Healthcare,0.568,174866,L_touch_3_in_7d
Industrials,0.559,194166,L_touch_3_in_7d
Financial Services,0.557,225879,L_touch_3_in_7d
Real Estate,0.496,94303,L_touch_3_in_7d
Consumer Defensive,0.469,75741,L_touch_3_in_7d
Utilities,0.43,75817,L_touch_3_in_7d
