name,tp,dd,w,thr,overall,f1_wr,f1_ev,f1_worst,f1_dd,f1_safe5,f1_sharpe,f1_n,f2_pos,f2_total,f3_wr,f3_ev,f3_worst,f3_n,f4_pass
C1_strict_dd3_7d,2.0,-3.0,7,0.75,PASS,0.93,1.777,-2.27,-24.35,0.982,12.97,57,1,1,1.0,1.995,1.48,96,4
C2_fast_dd5_5d,2.0,-5.0,5,0.8,FAIL,0.959,1.815,-4.1,-8.36,0.959,13.41,49,2,2,0.331,-2.679,-12.9,127,4
C3_more_dd5_5d,3.0,-5.0,5,0.7,FAIL,0.946,2.588,-7.25,-11.05,0.859,10.86,92,3,3,0.58,-0.463,-33.16,1177,4
