sector,mean,count,label
Energy,0.746,109188,L_touch_2_in_7d
Technology,0.741,259796,L_touch_2_in_7d
Basic Materials,0.722,88537,L_touch_2_in_7d
Consumer Cyclical,0.722,182187,L_touch_2_in_7d
Communication Services,0.704,67383,L_touch_2_in_7d
Healthcare,0.696,174866,L_touch_2_in_7d
Financial Services,0.693,225879,L_touch_2_in_7d
Industrials,0.693,194166,L_touch_2_in_7d
Real Estate,0.647,94303,L_touch_2_in_7d
Consumer Defensive,0.621,75741,L_touch_2_in_7d
Utilities,0.595,75817,L_touch_2_in_7d
