symbol,entry_date,exit_date,entry_price,exit_price,return_pct,momentum_7d,period
AAPL,2024-09-24 00:00:00-04:00,2024-10-14 00:00:00-04:00,226.0975341796875,230.00555419921875,1.7284664486545933,2.188762960724417,September 2024
GOOGL,2024-09-10 00:00:00-04:00,2024-09-30 00:00:00-04:00,147.91053771972656,165.0138702392578,11.563295477932813,-7.9878439291264165,September 2024
GOOGL,2024-09-17 00:00:00-04:00,2024-10-07 00:00:00-04:00,158.51681518554688,162.15834045410156,2.2972485690506805,5.7059635393030455,September 2024
GOOGL,2024-09-24 00:00:00-04:00,2024-10-14 00:00:00-04:00,161.47181701660156,164.1283721923828,1.6452129076544169,3.0674451660684228,September 2024
AMZN,2024-09-03 00:00:00-04:00,2024-09-23 00:00:00-04:00,176.25,193.8800048828125,10.002839649822695,0.06812871961670491,September 2024
AMZN,2024-09-10 00:00:00-04:00,2024-09-30 00:00:00-04:00,179.5500030517578,186.3300018310547,3.776106189952247,4.316760484167809,September 2024
AMZN,2024-09-24 00:00:00-04:00,2024-10-14 00:00:00-04:00,193.9600067138672,187.5399932861328,-3.309967625029668,4.005577243106974,September 2024
META,2024-09-03 00:00:00-04:00,2024-09-23 00:00:00-04:00,509.25433349609375,562.1823120117188,10.393230854270382,-3.7918493808568954,September 2024
META,2024-09-10 00:00:00-04:00,2024-09-30 00:00:00-04:00,502.3184509277344,570.1806640625,13.50979901483423,-2.5915602480546385,September 2024
META,2024-09-17 00:00:00-04:00,2024-10-07 00:00:00-04:00,534.2033081054688,582.471923828125,9.035626509659593,7.308400232090745,September 2024
META,2024-09-24 00:00:00-04:00,2024-10-14 00:00:00-04:00,561.1066284179688,588.089599609375,4.808884768922496,7.481122174171831,September 2024
NVDA,2024-09-03 00:00:00-04:00,2024-09-23 00:00:00-04:00,107.95378875732422,116.22020721435547,7.657367612741991,-12.720227738728642,September 2024
NVDA,2024-09-10 00:00:00-04:00,2024-09-30 00:00:00-04:00,108.05374145507812,121.3984375,12.35005457952583,-8.070420134489044,September 2024
NVDA,2024-09-24 00:00:00-04:00,2024-10-14 00:00:00-04:00,120.82862854003906,138.0227508544922,14.230172536267343,1.486152392410004,September 2024
