entry_date,exit_date,entry_price,exit_price,return_pct,hold_days,exit_reason,symbol,entry_score,momentum_20d,rsi,atr_pct,month
2025-10-06,2025-10-09,156.22000122070312,171.84200134277344,10.0,3,TARGET_HIT,ARM,86.62217673019241,12.275407435660362,52.9194325338915,3.4624225705833753,2025-10
2025-10-06,2025-11-04,380.0199890136719,353.41858978271483,-7.0,21,STOP_LOSS,ETN,85.35488359997814,8.73558603461657,56.64407892772919,2.462652779910486,2025-10
2025-10-06,2025-11-17,785.0858154296875,772.2037963867188,-1.6408421588814792,30,MAX_HOLD,EQIX,81.2286751965652,3.1782787670950476,55.79145806709588,1.7106548336195297,2025-10
2025-10-06,2025-10-13,584.746826171875,543.8145483398437,-7.0,5,STOP_LOSS,REGN,80.8985505290315,4.842053380468251,53.303309644764454,3.233853368391139,2025-10
2025-10-06,2025-11-10,162.39596557617188,178.63556213378908,10.0,25,TARGET_HIT,VLO,79.87490569868396,3.8510470503766445,51.15727430212245,2.8878270550723757,2025-10
2025-10-13,2025-10-30,982.9161376953125,1081.2077514648438,10.0,13,TARGET_HIT,ASML,84.06628322578139,13.531651090821455,53.93840248699982,2.770861232316913,2025-10
2025-10-13,2025-10-24,275.69989013671875,303.26987915039064,10.0,9,TARGET_HIT,IBM,83.06706517532326,8.187637260879109,54.38998923399029,2.928054088658353,2025-10
2025-10-13,2025-11-03,226.82662963867188,210.94876556396483,-7.0,15,STOP_LOSS,ABBV,79.02503813504791,5.831526557855284,57.803939867790646,2.522797257847291,2025-10
2025-10-13,2025-10-29,542.9299926757812,504.9248931884765,-7.0,12,STOP_LOSS,ULTA,78.86384604412834,3.2029301700429094,59.07157420972346,2.554393696685216,2025-10
2025-10-13,2025-11-05,290.3292541503906,319.3621795654297,10.0,17,TARGET_HIT,AMGN,77.89955761396342,6.559767612895451,54.73487944900494,2.5168553111898717,2025-10
2025-10-20,2025-11-14,85.58847045898438,94.14731750488282,10.0,19,TARGET_HIT,MRK,84.06682593643104,7.3631800990766285,57.025270046108794,2.5577578312338414,2025-10
2025-10-20,2025-10-21,208.10191345214844,228.9121047973633,10.0,1,TARGET_HIT,DHR,83.20514215630763,9.607346415169188,61.14414197252572,2.8147782533276855,2025-10
2025-10-20,2025-11-03,305.8999938964844,336.48999328613286,10.0,10,TARGET_HIT,ZS,79.52913694718065,4.914767024144232,54.145621462053754,3.358825599541157,2025-10
