symbol,entry_date,entry_price,exit_price,actual_return,max_return,min_return,hit_12pct,hit_15pct,rsi,momentum_30d,volume_ratio,position_52w
GOOGL,2025-10-15,250.86590576171875,276.22930908203125,10.110342911405246,16.324749697171836,-2.7407127197697,True,True,56.46596309190547,8.159499846912599,0.920751050464932,96.65530639854127
AVGO,2025-10-15,350.6590270996094,341.80596923828125,-2.524691274756008,10.004849361705336,-6.3387675889742585,False,False,57.303153987562574,14.972853230941308,1.0239973764843435,92.1126029831841
TSM,2025-10-15,303.8896179199219,284.05316162109375,-6.527520234026307,2.185679351743386,-10.331135395611458,False,False,62.3037201563635,29.956761797845765,1.4569191570361633,100.0
KLAC,2025-10-15,1085.189208984375,1132.419921875,4.352302114654094,18.165424750977976,-0.6641959595515057,True,True,53.34195997542607,24.472968633403337,1.2058488764870026,90.68598213243779
TSM,2025-10-20,296.89849853515625,281.6097717285156,-5.149479327808137,4.171975905844816,-8.391000336402188,False,False,57.88437017166116,19.017694834914867,0.9155150318973406,95.73336695707498
KLAC,2025-10-20,1150.9588623046875,1167.4599609375,1.43368274690292,11.413055683019113,-5.4254924136620915,False,False,58.011779437781335,25.624096406731578,1.0602009319151446,100.0
CRWD,2025-10-20,503.6099853515625,520.5900268554688,3.371664978416322,12.567272473423685,-2.370876724275639,True,False,54.673255851056034,18.913360661833156,1.1480248159968736,95.17102095588318
AAPL,2025-10-25,262.56549072265625,275.9200134277344,5.086168280653558,5.517078796756758,0.6962783720814381,False,False,56.87994163462811,11.035075162537478,0.8680105952853544,100.0
LRCX,2025-10-25,151.43069458007812,150.13284301757812,-0.8570597698828397,10.199097720227845,-10.667196036865956,False,False,52.23538480153321,27.48889452271097,0.9218510490653842,100.0
SNOW,2025-10-25,257.94000244140625,241.99000549316406,-6.183607349490272,8.81213102705598,-11.382492181305226,False,False,60.41609762322105,14.23889902619877,1.1406386013921206,100.0
CRWD,2025-10-25,527.3200073242188,506.82000732421875,-3.887582438607484,7.505881919915147,-9.438295312138479,False,False,60.654843568671694,18.560159262006625,1.0644136126419201,100.0
ZS,2025-10-25,323.0,280.3500061035156,-13.20433247569176,4.331266326431882,-16.69040361056018,False,False,60.2069021641523,13.071482132324675,0.8235444380367766,100.0
SHOP,2025-10-25,172.9499969482422,155.30999755859375,-10.199479445453507,5.342587832441104,-21.26048275298027,False,False,58.02164158154877,16.94502512814793,0.9790456456979071,100.0
NVDA,2025-11-05,195.1991424560547,182.41000366210938,-6.5518416899933545,2.423029380749253,-13.144823010835594,False,False,62.954373927149106,9.859869651140073,0.9273778873178035,89.50701313892166
TSLA,2025-11-05,462.07000732421875,455.0,-1.5300727621686883,1.164326789779624,-17.159739279352703,False,False,59.697325288629166,9.135782927686487,1.0292099187485477,93.1046592715158
AMAT,2025-11-05,240.41873168945312,268.0,11.472179441564222,13.79728792982926,-15.56312125026399,True,False,60.52084676804746,20.68636758979716,1.0162390525708496,100.0
DDOG,2025-11-05,154.97999572753906,151.41000366210938,-2.3035179789950955,30.139377985262826,-3.164923805985942,True,True,57.02434095110993,13.45533587318808,1.6123330477902587,83.25780870691051
SHOP,2025-11-05,162.9199981689453,161.0800018310547,-1.1293864219066418,0.2086891368228816,-16.412966973787423,False,False,56.56126361316399,13.572674545073738,1.0755270144395255,84.24402946805218
HOOD,2025-11-05,142.47999572753906,131.9499969482422,-7.3905103137658195,-1.6282931885161944,-28.340818686319746,False,False,58.09621365713547,16.16795267424116,1.2768392652618412,92.21163536783249
ARWR,2025-11-05,40.310001373291016,61.439998626708984,52.4187460519872,66.55915927141271,-8.062515230161749,True,True,53.945817392900395,27.321546328390014,0.8396699467959885,93.58025296034934
SCCO,2025-11-05,133.96600341796875,140.41000366210938,4.810175775741854,7.67657190604214,-10.984879030880235,False,False,52.79593662807165,15.22549209651931,0.8158561673511612,91.60932664384566
AVGO,2025-11-10,357.7055969238281,412.18133544921875,15.229210555794293,15.686808144394826,-8.183833530582142,True,True,57.30744307885398,8.63266259777944,0.829177298359559,88.51772118105067
AMAT,2025-11-10,234.62010192871094,275.1499938964844,17.27468858575827,17.679603680083765,-13.47626597231697,True,True,56.447039988814616,14.818791882159488,1.105992178193634,94.93292528531872
KLAC,2025-11-10,1215.909912109375,1238.9100341796875,1.891597546927759,3.1079637303837337,-11.838866493172084,False,False,60.790791869579174,12.919524353620204,0.8804710208857645,97.37972730158502
NET,2025-11-10,240.52999877929688,213.4600067138672,-11.254310149591074,0.21951518754803612,-24.682989821849056,False,False,63.93525396963833,12.088169478581602,0.9693282015157239,92.19103297743023
ZS,2025-11-10,328.8999938964844,243.2899932861328,-26.029188871707866,1.5202189397345078,-27.70750724084995,False,False,62.163588263646076,9.757722043995386,0.8816970029678681,95.43935919880778
ARWR,2025-11-10,39.849998474121094,68.87000274658203,72.82310008444983,79.42284250382762,-7.001247698019175,True,True,56.310676015933886,15.540726398400583,1.1078335358874822,92.16049090915834
GOOGL,2025-11-15,276.22930908203125,308.2200012207031,11.581208469508098,18.964580031799684,0.6475981212338278,True,True,55.46540477389296,10.374154678500425,0.9393026225928055,89.85802030769698
MU,2025-11-15,246.73033142089844,237.4040985107422,-3.7799296326670895,7.260048690796772,-21.974641925914206,False,False,62.50350598287766,29.257437887604198,1.5401342435049783,96.57094328993772
CRWD,2025-11-15,537.5499877929688,487.4700012207031,-9.316340379409205,0.5804102293811564,-11.161752648594291,False,False,53.29526343352645,8.38793720375428,0.8829057750483545,91.9652398869965
ARWR,2025-11-15,41.2599983215332,68.44999694824219,65.89917530975464,75.37567511869617,-10.179343478184899,True,True,56.477431105040175,10.026662190755209,0.9841071341848381,96.51234234129755
RIVN,2025-11-15,15.109999656677246,18.700000762939453,23.759107795053815,29.71542572344341,-7.677034240695669,True,True,57.39130290559662,11.925923382794412,0.9843877336477124,63.62498998641968
GOOGL,2025-11-20,289.26080322265625,307.1600036621094,6.187910785021011,13.605104394746338,1.5201190698071576,True,False,55.86148461963529,22.35279629800906,1.5877343596510707,97.73607477035495
AAPL,2025-11-25,276.9700012207031,273.80999755859375,-1.1409191061061308,4.206229499634917,-3.6177163481641683,False,False,61.56176177331627,11.188936228236578,0.9099380643872409,100.0
AVGO,2025-11-25,384.2947082519531,350.2200012207031,-8.866816612241713,7.682509997957587,-16.52079204963528,False,False,60.7440271866855,9.592133255645251,1.4713665653556838,99.6046350464627
