entry_date,entry_price,stop_loss,take_profit,sl_pct,tp_pct,pos_size,spy_regime,sector,score,exit_date,pnl_pct,reason,days,symbol
2023-01-05,150.0399932861328,147.03919342041016,158.35220891418456,2.0,5.54,0.45,BEAR,Energy_Services,145,2023-01-06,5.239999999999992,TP,1,NBR
2023-01-05,16.780000686645508,16.444400672912597,17.45120071411133,2.0,4.0,0.45,BEAR,Energy_Services,130,2023-01-06,3.7000000000000117,TP,1,OII
2023-01-05,35.84253413736646,35.12568345461913,37.27623550286111,2.0,4.0,0.45,BEAR,Energy_Services,125,2023-01-06,3.699999999999994,TP,1,HAL
2023-01-09,30.049999237060547,29.448999252319336,32.45399917602539,2.0,8.0,0.33,BULL,Healthcare_Pharma,130,2023-01-10,7.700000000000002,TP,1,ARWR
2023-01-09,55.45000076293945,54.34100074768066,59.88600082397461,2.0,8.0,0.33,BULL,Technology,145,2023-01-11,7.7000000000000055,TP,2,DOCU
2023-01-09,38.03422077868533,37.132809746230485,39.555589609832744,2.37,4.0,0.33,BULL,Finance_Insurance,140,2023-01-11,3.6999999999999993,TP,2,HCI
2023-01-11,7.842622263728086,7.672437360605186,8.156327154277209,2.17,4.0,0.33,BULL,Real_Estate_Office,90,2023-01-12,3.699999999999992,TP,1,PDM
2023-01-17,37.529568720214584,36.77897734581029,40.1040971344213,2.0,6.86,0.33,BULL,Technology,125,2023-01-19,-2.300000000000007,SL,2,DELL
2023-01-17,64.19999694824219,62.91599700927734,67.21097680511474,2.0,4.69,0.33,BULL,Semiconductors,100,2023-01-19,-2.300000000000005,SL,2,MTSI
2023-01-13,143.30575371538802,140.43963864108025,149.03798386400354,2.0,4.0,0.33,BULL,Healthcare_Services,100,2023-01-23,3.699999999999995,TP,5,UHS
2023-01-20,43.97024528969019,43.090840383896385,45.865362861675834,2.0,4.31,0.33,BULL,Finance_Banks,140,2023-01-23,4.009999999999993,TP,1,ZION
2023-01-20,80.26218611403858,78.65694239175781,83.47267355860014,2.0,4.0,0.33,BULL,Finance_Banks,130,2023-01-23,3.700000000000009,TP,1,WTFC
2023-01-24,15.199999809265137,14.895999813079834,16.3673597946167,2.0,7.68,0.33,BULL,Healthcare_Services,140,2023-01-25,-2.2999999999999976,SL,1,MD
2023-01-24,15.460000038146973,15.150800037384032,16.69680004119873,2.0,8.0,0.33,BULL,Real_Estate_Data,135,2023-01-25,-2.300000000000007,SL,1,LMND
2023-01-24,8.675661829308677,8.502148592722502,9.356701282909407,2.0,7.85,0.33,BULL,Finance_Payments,120,2023-01-26,7.549999999999994,TP,2,PAGS
2023-01-26,28.726533684958824,28.152003011259648,30.668447362062043,2.0,6.76,0.33,BULL,Finance_Asset_Mgmt,125,2023-01-30,-2.2999999999999976,SL,2,TPG
2023-01-27,24.602480115831355,24.11043051351473,26.06140718670015,2.0,5.93,0.33,BULL,Energy_Oil,120,2023-01-30,-2.2999999999999976,SL,1,RRC
2023-01-26,181.41348119445794,177.78521157056878,190.73813412785307,2.0,5.14,0.33,BULL,Industrial_Transport,110,2023-02-01,4.8399999999999945,TP,4,CAR
2023-01-31,27.690000534057617,27.136200523376463,28.797600555419923,2.0,4.0,0.33,BULL,Consumer_Retail,125,2023-02-01,3.700000000000003,TP,1,ANF
2023-02-02,7.900000095367432,7.742000093460083,8.532000102996827,2.0,8.0,0.33,BULL,Healthcare_Services,150,2023-02-03,-2.299999999999997,SL,1,BHC
