symbol,entry_date,entry_price,exit_price,actual_return,max_return,min_return,trailing_triggered,rsi,momentum_30d,volume_ratio
GOOGL,2025-10-15,250.86590576171875,283.06456284427645,12.835007206256682,16.32474969717184,-2.740712719769696,True,56.46596309190547,8.159499846912588,0.920751050464932
NVDA,2025-10-15,179.8199920654297,205.81284962746037,14.454931992529987,17.994775250030916,-1.7071749186114977,True,52.344430450129174,4.76530961493157,1.1571778082790443
AVGO,2025-10-15,350.6590270996094,374.1696764981223,6.7047038808541615,10.00484936170533,-6.3387675889742585,True,57.303153987562574,14.972853230941302,1.0239973764843435
ASML,2025-10-15,1008.0216064453125,1053.5266857910156,4.5142960284524225,7.746696936548897,-2.6806574653296864,True,60.86001012004774,34.02838017307596,1.5566397234835068
TSM,2025-10-15,303.8896179199219,298.1104037288539,-1.90174782232635,2.18567935174339,-10.331135395611458,True,62.3037201563635,29.956761797845775,1.4569191570361633
KLAC,2025-10-15,1085.189208984375,1243.8488850037197,14.620462008448627,18.165424750977966,-0.6641959595515075,True,53.34195997542607,24.472968633403337,1.2058488764870026
NET,2025-10-15,217.3800048828125,252.2,16.018030331703514,19.606216836807754,-6.380536417530101,True,49.29986995109421,3.5241495884566874,0.949247235558241
RBLX,2025-10-15,138.55999755859375,139.2535933716763,0.5005743542895439,0.3211657996966743,-29.236428421345213,True,56.9628421373389,6.757072753002411,1.2370170050877756
MRNA,2025-10-15,27.719999313354492,28.324000740051268,2.178937379719883,5.339110700742153,-16.88311152148007,True,67.29698988977901,14.168033481980308,0.836317391338453
GOLD,2025-10-15,27.7318115234375,28.670723353375067,3.385685169337195,6.583180586945561,-17.710198212531854,True,63.545565073728646,17.0925806914036,0.8930184539940638
GOOGL,2025-10-20,256.3822937011719,294.5030587231745,14.868719860363889,18.421360680787515,-4.833368774941016,True,66.06928119645896,7.060883798180287,0.8163523220906614
MSFT,2025-10-20,515.8245239257812,536.1050060750609,3.931663038222999,7.146044369302057,-6.5713290369273505,True,48.807008408984004,3.6877164271093705,0.8446777972579764
QCOM,2025-10-20,166.19081115722656,198.755926361476,19.595015499046383,23.29383041138802,-3.3824168615830668,True,50.89897723775116,5.281727104724738,1.1071215528696783
TSM,2025-10-20,296.89849853515625,296.91363106450365,0.0050968696110147305,4.171975905844805,-8.39100033640219,True,57.88437017166116,19.01769483491486,0.9155150318973406
KLAC,2025-10-20,1150.9588623046875,1243.8488850037197,8.07066401252853,11.413055683019104,-5.4254924136620915,True,58.011779437781335,25.62409640673159,1.0602009319151446
CRWD,2025-10-20,503.6099853515625,549.8930236816406,9.190254299220967,12.56727247342369,-2.3708767242756337,True,54.673255851056034,18.913360661833163,1.1480248159968736
NET,2025-10-20,213.0399932861328,252.2,18.38152832706467,22.0428127083141,-12.00008824084077,True,48.726791880526676,-2.525624237793597,0.9194833858785119
COIN,2025-10-20,343.7799987792969,362.0525,5.315172867992791,8.572343162879163,-28.14590576834426,True,52.23192405842412,7.842399176777843,0.8061977231414365
MRNA,2025-10-20,27.239999771118164,28.324000740051268,3.9794455875232457,7.1953047294054135,-15.418498130987379,True,56.733525294873985,11.319985841813839,1.2182240933486541
NEM,2025-10-20,94.61502075195312,87.25640869140625,-7.777424770469094,-0.9590033436743953,-19.85456739377585,False,65.01987082713174,24.98683500923036,1.061519018815341
AAPL,2025-10-25,262.56549072265625,268.7398926667488,2.3515664328540695,5.517078796756765,0.6962783720814458,True,56.87994163462811,11.035075162537487,0.8680105952853544
GOOGL,2025-10-25,259.7501220703125,309.6930355769961,19.227291640372908,22.91473364986899,1.6774249447658083,True,59.60723502708745,3.302741581968615,0.9982477164575306
QCOM,2025-10-25,168.08116149902344,198.755926361476,18.24997197120797,21.907187599183466,-5.972533282199677,True,50.41537052085652,4.788488889983934,0.8371145773815816
LRCX,2025-10-25,151.43069458007812,161.86900132575846,6.89312478862101,10.199097720227854,-10.667196036865958,True,52.23538480153321,27.488894522710964,0.9218510490653842
SNOW,2025-10-25,257.94000244140625,272.24991302490236,5.54776709624431,8.812131027055985,-11.38249218130522,True,60.41609762322105,14.238899026198773,1.1406386013921206
CRWD,2025-10-25,527.3200073242188,549.8930236816406,4.280705462317677,7.5058819199151445,-9.438295312138473,True,60.654843568671694,18.560159262006625,1.0644136126419201
ZS,2025-10-25,323.0,323.510390625,0.15801567337461722,4.331266326431889,-16.69040361056018,True,60.2069021641523,13.071482132324668,0.8235444380367766
SHOP,2025-10-25,172.9499969482422,176.72430236816405,2.18231019746787,5.3425878324411125,-21.260482752980273,True,58.02164158154877,16.945025128147932,0.9790456456979071
REGN,2025-10-25,577.2262573242188,749.936104736328,29.920649870073557,33.938814299044914,-0.3495144988205577,True,46.04557868758284,0.9360944854762231,0.8336864961644136
MSFT,2025-11-05,506.2125549316406,508.69615031125323,0.490623030862598,1.2500984520235712,-8.163080879885202,True,46.596306438826126,0.02564022007413352,1.0797617651886415
NVDA,2025-11-05,195.1991424560547,191.93172002758607,-1.6738917944807148,2.423029380749257,-13.144823010835596,True,62.954373927149106,9.859869651140063,0.9273778873178035
TSLA,2025-11-05,462.07000732421875,464.34461654711185,0.49226506521491004,1.1643267897796132,-17.159739279352703,True,59.697325288629166,9.135782927686483,1.0292099187485477
QCOM,2025-11-05,178.80636596679688,174.80999755859375,-2.235025798211918,-0.49521539473386467,-11.612510364013616,False,63.954319262150285,5.917025146477865,1.4084807048121004
AMAT,2025-11-05,240.41873168945312,265.3822964477539,10.383369291934375,13.797287929829254,-15.563121250263992,True,60.52084676804746,20.686367589797168,1.0162390525708496
LRCX,2025-11-05,164.7787322998047,165.58643388699568,0.49017344405916885,1.2723285157339912,-17.903673829032254,True,71.57532872296312,28.814486707633304,1.0213516469802304
KLAC,2025-11-05,1225.0445556640625,1231.0619783739132,0.4912003144725506,1.220808195652163,-12.496247097198813,True,69.55791556600363,15.862528623418223,0.8075132516948279
MRVL,2025-11-05,92.83320617675781,99.61521800176847,7.305588274197336,10.624317808450865,-20.753496931283582,True,56.6733305490786,10.919361581450179,1.066079969793006
DDOG,2025-11-05,154.97999572753906,195.63930236816407,26.23519664570495,30.139377985262833,-3.1649238059859393,True,57.02434095110993,13.455335873188073,1.6123330477902587
NET,2025-11-05,228.50999450683594,237.165,3.787582907191019,6.997508151743322,-20.72119031244827,True,59.93727396071779,4.725021861956908,0.8804342556297551
ZS,2025-11-05,323.8999938964844,320.543994140625,-1.0361222041059792,3.0873727040562753,-26.591537896586015,True,67.52914767272,12.990996218038969,1.2230721165240999
SHOP,2025-11-05,162.9199981689453,163.73558860605672,0.5006079341258381,0.20868913682288068,-16.41296697378742,True,56.56126361316399,13.57267454507374,1.0755270144395255
COIN,2025-11-05,319.29998779296875,321.55198791503904,0.7052928932557498,1.7225180739957153,-27.60099999789732,True,46.86623128175603,4.111638870253575,0.8580196982649004
HOOD,2025-11-05,142.47999572753906,131.9499969482422,-7.39051031376582,-1.628293188516197,-28.340818686319746,False,58.09621365713547,16.167952674241153,1.2768392652618412
ARWR,2025-11-05,40.310001373291016,65.12579940795898,61.56238449327033,66.55915927141271,-8.062515230161752,True,53.945817392900395,27.321546328390014,0.8396699467959885
VRTX,2025-11-05,417.0,449.9345059204101,7.8979630504580625,11.235013454080486,-2.4772150053394784,True,58.510862243179524,9.199467183074143,1.0728241294818988
BIIB,2025-11-05,153.42999267578125,179.61489822387693,17.066353906063206,20.686962789755896,-1.0428149130578166,True,70.39065063500296,13.09058358261346,1.1256404183443238
SCCO,2025-11-05,133.96600341796875,139.92249999999999,4.446274748860871,7.676571906042145,-10.984879030880236,True,52.79593662807165,15.225492096519307,0.8158561673511612
PLTR,2025-11-05,187.89999389648438,187.13279296874998,-0.4083027954524843,3.7413512547370056,-21.468865166708976,True,57.080801800476095,4.901741301161072,1.4801688754831097
AAPL,2025-11-10,269.42999267578125,279.9613952636719,3.9087714338334987,7.122444777147936,-1.5254372056893657,True,64.66281998514135,5.914923943111476,0.835473296135933
