symbol,entry_date,exit_date,entry_price,exit_price,return_pct,rsi,accumulation,price_above_ma20,is_winner,is_loser,month
META,2025-12-22,2026-01-13,214.9499969482422,220.97000122070312,2.800653341674852,44.959212268196936,1.4795816855900223,0.4401693070485323,True,False,2025-12
META,2025-12-23,2026-01-14,214.89999389648438,223.60000610351562,4.048400397452769,46.02262419615011,1.8352522460967378,0.4203237555254834,True,False,2025-12
META,2025-12-24,2026-01-15,215.0399932861328,227.9199981689453,5.989585790990204,40.01743356625852,1.6637646237275032,0.27699043490883274,True,False,2025-12
META,2025-12-26,2026-01-16,214.99000549316406,231.8300018310547,7.832920557986626,41.99435490965622,1.461104157787084,0.23615201841413871,True,False,2025-12
META,2025-12-29,2026-01-20,215.61000061035156,231.9199981689453,7.564583049219981,42.53313129076328,1.4140088807102764,0.5702301416507474,True,False,2025-12
META,2025-12-30,2026-01-21,215.33999633789062,249.8000030517578,16.002603928624524,43.629072756039534,1.5985281730500562,0.5479371330604912,True,False,2025-12
META,2025-12-31,2026-01-22,214.16000366210938,253.72999572753906,18.476835725059654,45.37015096204607,1.3333815283143173,0.022187022395628333,True,False,2025-12
META,2026-01-02,2026-01-23,223.47000122070312,259.67999267578125,16.203513338381587,56.55840936481476,1.6984527338733968,4.227495063361167,True,False,2026-01
AAPL,2025-12-22,2026-01-13,214.9499969482422,220.97000122070312,2.800653341674852,44.959212268196936,1.4795816855900223,0.4401693070485323,True,False,2025-12
AAPL,2025-12-23,2026-01-14,214.89999389648438,223.60000610351562,4.048400397452769,46.02262419615011,1.8352522460967378,0.4203237555254834,True,False,2025-12
AAPL,2025-12-24,2026-01-15,215.0399932861328,227.9199981689453,5.989585790990204,40.01743356625852,1.6637646237275032,0.27699043490883274,True,False,2025-12
AAPL,2025-12-26,2026-01-16,214.99000549316406,231.8300018310547,7.832920557986626,41.99435490965622,1.461104157787084,0.23615201841413871,True,False,2025-12
AAPL,2025-12-29,2026-01-20,215.61000061035156,231.9199981689453,7.564583049219981,42.53313129076328,1.4140088807102764,0.5702301416507474,True,False,2025-12
AAPL,2025-12-30,2026-01-21,215.33999633789062,249.8000030517578,16.002603928624524,43.629072756039534,1.5985281730500562,0.5479371330604912,True,False,2025-12
AAPL,2025-12-31,2026-01-22,214.16000366210938,253.72999572753906,18.476835725059654,45.37015096204607,1.3333815283143173,0.022187022395628333,True,False,2025-12
AAPL,2026-01-02,2026-01-23,223.47000122070312,259.67999267578125,16.203513338381587,56.55840936481476,1.6984527338733968,4.227495063361167,True,False,2026-01
GOOGL,2025-12-22,2026-01-13,214.9499969482422,220.97000122070312,2.800653341674852,44.959212268196936,1.4795816855900223,0.4401693070485323,True,False,2025-12
GOOGL,2025-12-23,2026-01-14,214.89999389648438,223.60000610351562,4.048400397452769,46.02262419615011,1.8352522460967378,0.4203237555254834,True,False,2025-12
GOOGL,2025-12-24,2026-01-15,215.0399932861328,227.9199981689453,5.989585790990204,40.01743356625852,1.6637646237275032,0.27699043490883274,True,False,2025-12
GOOGL,2025-12-26,2026-01-16,214.99000549316406,231.8300018310547,7.832920557986626,41.99435490965622,1.461104157787084,0.23615201841413871,True,False,2025-12
GOOGL,2025-12-29,2026-01-20,215.61000061035156,231.9199981689453,7.564583049219981,42.53313129076328,1.4140088807102764,0.5702301416507474,True,False,2025-12
GOOGL,2025-12-30,2026-01-21,215.33999633789062,249.8000030517578,16.002603928624524,43.629072756039534,1.5985281730500562,0.5479371330604912,True,False,2025-12
GOOGL,2025-12-31,2026-01-22,214.16000366210938,253.72999572753906,18.476835725059654,45.37015096204607,1.3333815283143173,0.022187022395628333,True,False,2025-12
GOOGL,2026-01-02,2026-01-23,223.47000122070312,259.67999267578125,16.203513338381587,56.55840936481476,1.6984527338733968,4.227495063361167,True,False,2026-01
NFLX,2025-12-22,2026-01-13,214.9499969482422,220.97000122070312,2.800653341674852,44.959212268196936,1.4795816855900223,0.4401693070485323,True,False,2025-12
NFLX,2025-12-23,2026-01-14,214.89999389648438,223.60000610351562,4.048400397452769,46.02262419615011,1.8352522460967378,0.4203237555254834,True,False,2025-12
NFLX,2025-12-24,2026-01-15,215.0399932861328,227.9199981689453,5.989585790990204,40.01743356625852,1.6637646237275032,0.27699043490883274,True,False,2025-12
