accum,rsi,ma20,ma50,trades,avg_return,hold_days
1.3,55,1,0,66,4.239281406989158,5
1.2,55,0,2,52,4.363727998480856,5
1.3,55,2,0,51,4.555076800397546,5
1.3,55,0,2,44,2.44690892745503,5
1.0,55,-5,4,43,15.105433555993564,21
1.0,55,-3,4,43,15.105433555993564,21
1.0,55,-2,4,43,15.105433555993564,21
1.1,55,-5,4,43,15.105433555993564,21
1.1,55,-3,4,43,15.105433555993564,21
1.1,55,-2,4,43,15.105433555993564,21
1.3,57,-5,6,43,13.976162973430888,14
1.3,57,-3,6,43,13.976162973430888,14
1.3,57,-2,6,43,13.976162973430888,14
1.3,57,-1,6,43,13.976162973430888,14
1.4,55,1,0,43,4.971344814194608,5
1.0,55,-1,4,42,15.32558686065641,21
1.1,55,-1,4,42,15.32558686065641,21
1.2,55,-5,4,42,15.32558686065641,21
1.2,55,-3,4,42,15.32558686065641,21
1.2,55,-2,4,42,15.32558686065641,21
1.2,55,-1,4,42,15.32558686065641,21
1.4,55,2,0,39,5.3405140951051235,5
1.0,55,-5,4,34,19.27199181251731,30
1.0,55,-3,4,34,19.27199181251731,30
1.0,55,-2,4,34,19.27199181251731,30
1.0,55,-1,4,34,19.27199181251731,30
1.1,55,-5,4,34,19.27199181251731,30
1.1,55,-3,4,34,19.27199181251731,30
1.1,55,-2,4,34,19.27199181251731,30
1.1,55,-1,4,34,19.27199181251731,30
1.2,55,-5,4,34,19.27199181251731,30
1.2,55,-3,4,34,19.27199181251731,30
1.2,55,-2,4,34,19.27199181251731,30
1.2,55,-1,4,34,19.27199181251731,30
1.3,55,-5,4,34,15.887895881127985,21
1.3,55,-3,4,34,15.887895881127985,21
1.3,55,-2,4,34,15.887895881127985,21
1.3,55,-1,4,34,15.887895881127985,21
1.3,57,0,6,34,13.50469012245736,14
1.4,57,-5,6,34,13.50469012245736,14
1.4,57,-3,6,34,13.50469012245736,14
1.4,57,-2,6,34,13.50469012245736,14
1.4,57,-1,6,34,13.50469012245736,14
1.4,57,0,6,34,13.50469012245736,14
1.5,57,-5,6,34,13.50469012245736,14
1.5,57,-3,6,34,13.50469012245736,14
1.5,57,-2,6,34,13.50469012245736,14
1.5,57,-1,6,34,13.50469012245736,14
1.5,57,0,6,34,13.50469012245736,14
1.6,57,-5,6,34,13.50469012245736,14
1.6,57,-3,6,34,13.50469012245736,14
1.6,57,-2,6,34,13.50469012245736,14
1.6,57,-1,6,34,13.50469012245736,14
1.6,57,0,6,34,13.50469012245736,14
1.7,57,-5,6,34,13.50469012245736,14
1.7,57,-3,6,34,13.50469012245736,14
1.7,57,-2,6,34,13.50469012245736,14
1.7,57,-1,6,34,13.50469012245736,14
1.7,57,0,6,34,13.50469012245736,14
1.3,55,3,-5,32,6.670649101026276,5
1.3,55,3,0,32,6.670649101026276,5
1.4,55,0,2,32,2.282106561147873,5
1.4,55,0,2,31,15.178626122501255,21
1.0,55,0,4,29,19.310256275460066,21
1.1,55,0,4,29,19.310256275460066,21
1.2,55,0,4,29,19.310256275460066,21
2.0,57,-5,2,29,14.35395708263365,14
2.0,57,-5,4,29,14.35395708263365,14
2.0,57,-3,2,29,14.35395708263365,14
2.0,57,-3,4,29,14.35395708263365,14
2.0,57,-2,2,29,14.35395708263365,14
2.0,57,-2,4,29,14.35395708263365,14
2.0,57,-1,2,29,14.35395708263365,14
2.0,57,-1,4,29,14.35395708263365,14
2.0,57,0,2,29,14.35395708263365,14
2.0,57,0,4,29,14.35395708263365,14
1.0,55,0,4,29,7.654726231974394,7
1.1,55,0,4,29,7.654726231974394,7
1.2,55,0,4,29,7.654726231974394,7
1.0,55,0,4,29,6.079260197842059,5
1.1,55,0,4,29,6.079260197842059,5
1.2,55,0,4,29,6.079260197842059,5
2.1,60,-5,2,28,25.465204527746945,21
2.1,60,-5,4,28,25.465204527746945,21
2.1,60,-5,6,28,25.465204527746945,21
2.1,60,-3,2,28,25.465204527746945,21
2.1,60,-3,4,28,25.465204527746945,21
2.1,60,-3,6,28,25.465204527746945,21
2.1,60,-2,2,28,25.465204527746945,21
2.1,60,-2,4,28,25.465204527746945,21
2.1,60,-2,6,28,25.465204527746945,21
2.1,60,-1,2,28,25.465204527746945,21
2.1,60,-1,4,28,25.465204527746945,21
2.1,60,-1,6,28,25.465204527746945,21
2.1,60,0,2,28,25.465204527746945,21
2.1,60,0,4,28,25.465204527746945,21
2.1,60,0,6,28,25.465204527746945,21
2.1,60,-5,2,28,19.204812711138647,14
2.1,60,-5,4,28,19.204812711138647,14
2.1,60,-5,6,28,19.204812711138647,14
2.1,60,-3,2,28,19.204812711138647,14
2.1,60,-3,4,28,19.204812711138647,14
2.1,60,-3,6,28,19.204812711138647,14
2.1,60,-2,2,28,19.204812711138647,14
2.1,60,-2,4,28,19.204812711138647,14
2.1,60,-2,6,28,19.204812711138647,14
2.1,60,-1,2,28,19.204812711138647,14
2.1,60,-1,4,28,19.204812711138647,14
2.1,60,-1,6,28,19.204812711138647,14
2.1,60,0,2,28,19.204812711138647,14
2.1,60,0,4,28,19.204812711138647,14
2.1,60,0,6,28,19.204812711138647,14
1.0,48,-3,0,28,4.833152185659482,5
1.0,48,-2,0,28,4.833152185659482,5
1.0,48,-3,0,28,4.7695025462421805,7
1.0,48,-2,0,28,4.7695025462421805,7
1.0,55,2,2,28,3.097932578837707,5
1.1,55,2,2,28,3.097932578837707,5
1.2,55,1,2,28,3.097932578837707,5
1.2,55,2,2,28,3.097932578837707,5
1.3,55,1,2,28,3.097932578837707,5
1.3,55,2,2,28,3.097932578837707,5
1.4,55,3,-5,27,9.818135022905384,21
1.4,55,3,0,27,9.818135022905384,21
1.4,55,3,-5,27,7.143831380307806,5
1.4,55,3,0,27,7.143831380307806,5
2.2,60,-5,-5,27,5.394587161126647,7
2.2,60,-5,0,27,5.394587161126647,7
2.2,60,-3,-5,27,5.394587161126647,7
2.2,60,-3,0,27,5.394587161126647,7
2.2,60,-2,-5,27,5.394587161126647,7
2.2,60,-2,0,27,5.394587161126647,7
2.2,60,-1,-5,27,5.394587161126647,7
2.2,60,-1,0,27,5.394587161126647,7
2.3,60,-5,-5,27,5.394587161126647,7
2.3,60,-5,0,27,5.394587161126647,7
2.3,60,-3,-5,27,5.394587161126647,7
2.3,60,-3,0,27,5.394587161126647,7
2.3,60,-2,-5,27,5.394587161126647,7
2.3,60,-2,0,27,5.394587161126647,7
2.3,60,-1,-5,27,5.394587161126647,7
2.3,60,-1,0,27,5.394587161126647,7
2.4,60,-5,-5,27,5.394587161126647,7
2.4,60,-5,0,27,5.394587161126647,7
2.4,60,-3,-5,27,5.394587161126647,7
2.4,60,-3,0,27,5.394587161126647,7
2.4,60,-2,-5,27,5.394587161126647,7
2.4,60,-2,0,27,5.394587161126647,7
2.4,60,-1,-5,27,5.394587161126647,7
2.4,60,-1,0,27,5.394587161126647,7
1.3,55,-5,4,26,18.441957615045297,30
1.3,55,-3,4,26,18.441957615045297,30
1.3,55,-2,4,26,18.441957615045297,30
1.3,55,-1,4,26,18.441957615045297,30
1.3,57,1,6,26,12.212018234375051,14
1.4,57,1,6,26,12.212018234375051,14
1.5,57,1,6,26,12.212018234375051,14
1.6,57,1,6,26,12.212018234375051,14
1.7,57,1,6,26,12.212018234375051,14
2.0,57,2,-5,26,11.463652770860941,14
2.0,57,2,0,26,11.463652770860941,14
1.0,55,-5,6,24,19.743631312089853,21
1.0,55,-3,6,24,19.743631312089853,21
1.0,55,-2,6,24,19.743631312089853,21
1.1,55,-5,6,24,19.743631312089853,21
1.1,55,-3,6,24,19.743631312089853,21
1.1,55,-2,6,24,19.743631312089853,21
1.0,55,-5,6,24,18.654380182518963,14
1.0,55,-3,6,24,18.654380182518963,14
1.0,55,-2,6,24,18.654380182518963,14
1.1,55,-5,6,24,18.654380182518963,14
1.1,55,-3,6,24,18.654380182518963,14
1.1,55,-2,6,24,18.654380182518963,14
1.0,55,-5,6,24,11.367058015936221,10
