symbol,entry_date,score,mom,rsi,ret,days,exit,stop_type,month
META,2025-12-15,83.25,6.329876671501664,63.16251737298418,-7.0,23,STOP_LOSS,NORMAL,2025-12
QCOM,2025-12-22,92.25,7.232215115054317,57.799731363622556,-7.0,16,STOP_LOSS,NORMAL,2025-12
WMT,2025-12-22,92.25,7.1302050895660845,51.29822569198013,4.2717631022826055,25,MAX_HOLD,NORMAL,2025-12
EMR,2025-12-22,92.25,5.279990803312997,56.39985590644088,10.0,16,TARGET_HIT,NORMAL,2025-12
CROX,2025-12-22,91.0,9.160116479416748,59.44128975880765,-7.0,16,STOP_LOSS,NORMAL,2025-12
AMD,2025-12-22,90.75,5.481400645724282,49.727281701959626,-7.0,13,STOP_LOSS,NORMAL,2025-12
PLTR,2025-12-29,100.0,9.33808014990481,52.542039520566775,-3.4911461241613795,2,EARLY_WARNING,NORMAL,2025-12
NVDA,2025-12-29,96.0,6.3449061170116,53.096727129602726,2.2792441070608906,21,MAX_HOLD,NORMAL,2025-12
TGT,2025-12-29,94.75,8.254243545386771,64.44953556525076,10.0,7,TARGET_HIT,NORMAL,2025-12
TSLA,2025-12-29,92.25,6.850779994141522,57.32438739191874,-4.692804507178709,3,EARLY_WARNING,NORMAL,2025-12
ACN,2025-12-29,91.0,8.53599853515625,59.27916057698046,-4.197679768770914,3,EARLY_WARNING,NORMAL,2025-12
APTV,2026-01-05,96.0,5.337511867281277,57.461390131917724,10.0,4,TARGET_HIT,NORMAL,2026-01
BKNG,2026-01-05,96.0,6.970862817358235,55.99540729932989,-7.0,10,STOP_LOSS,NORMAL,2026-01
DIS,2026-01-05,94.75,8.885732263463076,60.805344453444945,-2.182868300544505,17,MAX_HOLD,NORMAL,2026-01
RCL,2026-01-05,92.5,8.425884216536113,51.72795726820105,10.0,3,TARGET_HIT,NORMAL,2026-01
MDB,2026-01-05,88.5,6.072138651169699,50.85158505226771,-7.0,7,STOP_LOSS,NORMAL,2026-01
SBUX,2026-01-12,96.0,6.160020477100967,54.22060617171322,10.0,11,TARGET_HIT,NORMAL,2026-01
C,2026-01-12,92.25,5.333809914457785,55.630444489350914,-4.4944718974453775,2,EARLY_WARNING,NORMAL,2026-01
CCL,2026-01-12,92.25,13.541668236712379,53.88272669428445,-4.523885724657305,2,EARLY_WARNING,NORMAL,2026-01
LULU,2026-01-12,91.0,11.78011840350682,49.50398766596199,-7.0,5,STOP_LOSS,NORMAL,2026-01
HON,2026-01-12,90.75,7.6089757728062795,64.76812876453276,8.93576167030337,12,MAX_HOLD,NORMAL,2026-01
AMZN,2026-01-19,94.75,8.06706309037124,58.0448441702839,-3.3957825706746387,1,EARLY_WARNING,NORMAL,2026-01
AVGO,2026-01-19,94.75,8.086304483672448,49.71224005322399,-5.433449664737008,1,EARLY_WARNING,NORMAL,2026-01
MRK,2026-01-19,92.5,9.729785739247788,56.63431539380029,-0.45024853893206424,8,MAX_HOLD,NORMAL,2026-01
GE,2026-01-19,92.5,11.401132066751178,57.69799818421576,-3.930855982785803,1,EARLY_WARNING,NORMAL,2026-01
DXCM,2026-01-19,92.25,5.764259947570104,57.43396687057783,6.413573519923263,8,MAX_HOLD,NORMAL,2026-01
