symbol,entry_date,score,mom,rsi,ret,days,exit,month
CAT,2025-12-15,80.0,6.449099164756339,61.18030621631085,10.0,21,TARGET_HIT,2025-12
V,2025-12-15,78.0,5.111819343181283,68.85323009451638,-7.0,23,STOP_LOSS,2025-12
META,2025-12-22,90.0,11.40757163307141,56.21645473225297,-7.0,15,STOP_LOSS,2025-12
TXN,2025-12-22,90.0,12.183195841491615,56.15493264658225,10.0,20,TARGET_HIT,2025-12
CROX,2025-12-22,88.0,9.160116479416748,59.44128975880765,-7.0,16,STOP_LOSS,2025-12
QCOM,2025-12-22,87.0,7.232215115054317,57.799731363622556,-7.0,16,STOP_LOSS,2025-12
WMT,2025-12-22,87.0,7.1302050895660845,51.29822569198013,4.2717631022826055,25,MAX_HOLD,2025-12
PLTR,2025-12-29,100.0,9.33808014990481,52.542039520566775,-7.0,3,STOP_LOSS,2025-12
TGT,2025-12-29,93.0,8.254243545386771,64.44953556525076,10.0,7,TARGET_HIT,2025-12
NVDA,2025-12-29,92.0,6.3449061170116,53.096727129602726,2.2792441070608906,21,MAX_HOLD,2025-12
SNPS,2025-12-29,90.0,14.58338078776102,57.037908816991596,10.0,8,TARGET_HIT,2025-12
ACN,2025-12-29,88.0,8.53599853515625,59.27916057698046,-3.729636343248641,21,MAX_HOLD,2025-12
DIS,2026-01-05,93.0,8.885732263463076,60.805344453444945,-2.182868300544505,17,MAX_HOLD,2026-01
APTV,2026-01-05,92.0,5.337511867281277,57.461390131917724,10.0,4,TARGET_HIT,2026-01
BKNG,2026-01-05,92.0,6.970862817358235,55.99540729932989,-7.0,10,STOP_LOSS,2026-01
RCL,2026-01-05,90.0,8.425884216536113,51.72795726820105,10.0,3,TARGET_HIT,2026-01
DECK,2026-01-05,86.0,12.311686726359577,66.04823504765895,-7.0,2,STOP_LOSS,2026-01
CCL,2026-01-12,95.0,13.541668236712379,53.88272669428445,-7.0,3,STOP_LOSS,2026-01
SBUX,2026-01-12,92.0,6.160020477100967,54.22060617171322,10.0,11,TARGET_HIT,2026-01
LULU,2026-01-12,88.0,11.78011840350682,49.50398766596199,-7.0,5,STOP_LOSS,2026-01
C,2026-01-12,87.0,5.333809914457785,55.630444489350914,-2.1240442351917466,12,MAX_HOLD,2026-01
HON,2026-01-12,85.0,7.6089757728062795,64.76812876453276,8.93576167030337,12,MAX_HOLD,2026-01
AMZN,2026-01-19,93.0,8.06706309037124,58.0448441702839,1.0915024521778105,8,MAX_HOLD,2026-01
AVGO,2026-01-19,93.0,8.086304483672448,49.71224005322399,-7.0,2,STOP_LOSS,2026-01
MRK,2026-01-19,90.0,9.729785739247788,56.63431539380029,-0.45024853893206424,8,MAX_HOLD,2026-01
GE,2026-01-19,90.0,11.401132066751178,57.69799818421576,-7.0,3,STOP_LOSS,2026-01
DXCM,2026-01-19,87.0,5.764259947570104,57.43396687057783,6.413573519923263,8,MAX_HOLD,2026-01
