symbol,entry_date,passes,reason,entry_price,exit_price,actual_return,max_return,min_return,hit_12pct,hit_15pct,days_held,rsi,mom_30d,price_vs_ma50,volume_ratio
RIVN,2025-12-20,True,PASS,21.75,19.219999313354492,-11.632187065036817,4.32184153589709,-14.06896306180406,False,False,12,69.61805676282552,42.81024723396869,38.50503711225965,0.7824853212135976
LULU,2025-12-20,True,PASS,212.3699951171875,203.89999389648438,-3.988322934239985,2.2837529853684613,-5.612844772336016,False,False,12,75.7607100099994,27.83361757377454,18.82421058752174,0.7385556315567737
ARWR,2025-12-20,True,PASS,69.0,64.55999755859375,-6.434786146965579,11.246379907580389,-12.144929084224977,False,False,12,68.03199018337571,75.88580373474717,41.6741778605759,0.2933795006263433
BAC,2025-12-20,True,PASS,55.880001068115234,55.849998474121094,-0.05369111206273743,2.988543552298181,-1.7895489994372844,False,False,12,75.0210210906244,5.583444729054325,5.914919025665983,0.7967789988127781
SCCO,2025-12-20,True,PASS,147.17999267578125,170.52000427246094,15.858141566900846,16.238626406186953,-3.5194951308308005,True,True,12,69.6921129953235,9.308777736048937,9.512998136468068,0.8547746969410621
PATH,2025-12-20,True,PASS,16.700000762939453,16.31999969482422,-2.275455393741841,7.425147990831022,-7.245514590074249,False,False,12,63.186811632097736,16.783220560791168,7.456314663069939,0.9259420100742872
ILMN,2025-12-20,True,PASS,137.60000610351562,141.07000732421875,2.521803100860813,9.985457576243485,-5.2180287907609815,False,False,12,68.3863724044596,12.879412945949529,16.236248197114424,1.0311878874555886
GOOGL,2025-12-20,True,PASS,309.7799987792969,328.57000732421875,6.065597720629097,6.795141027799486,-1.4461911692109968,False,False,12,45.135186673247375,11.172635960681339,7.247240996911556,0.6372163737501543
META,2025-12-20,True,PASS,661.5,653.0599975585938,-1.2758885021022297,1.8261552667942178,-3.8972077546296293,False,False,12,56.21645473225297,6.486866115217873,0.25016421235701475,0.8618407058118412
TSLA,2025-12-20,True,PASS,488.7300109863281,445.010009765625,-8.945634652652048,2.066575687781948,-13.168828273764642,False,False,12,69.95907576972262,13.78516099067314,10.76802371045707,1.1061457604603362
MU,2025-12-20,True,PASS,276.4783020019531,345.0899963378906,24.81630342747577,25.253947700576656,-3.000827182060932,True,True,12,63.32998146288029,16.253364872692387,20.639839675284342,1.1550374785915227
QCOM,2025-12-20,True,PASS,174.22000122070312,177.77999877929688,2.0433919949776147,5.87188362751739,-1.8425018318078923,False,False,12,57.799731363622556,2.4695416554595897,1.651177873762978,0.7297359946730784
LRCX,2025-12-20,True,PASS,175.25999450683594,218.36000061035156,24.592038944651758,25.293850975971367,-2.5676139113564105,True,True,12,65.02512791503129,10.165367382575749,13.017073346617334,0.9759200906276735
AMAT,2025-12-20,True,PASS,259.010009765625,301.17999267578125,16.281217451138417,16.898956551246343,-1.1775618457826103,True,True,12,44.40511774775008,12.799451847645171,7.6892205148825346,0.5472206829005313
KLAC,2025-12-20,True,PASS,1265.6600341796875,1400.0,10.614222002149438,11.164920492652259,-4.074559278692806,False,False,12,62.898180328672474,6.23558359099121,7.661579462799695,0.6396114717412351
SHOP,2025-12-20,True,PASS,169.6699981689453,164.47999572753906,-3.0588804723380827,1.950844341554062,-8.557791259007942,False,False,12,65.81281288053037,11.324712349657231,5.986913260148829,0.7628370355353471
ROKU,2025-12-20,True,PASS,109.80000305175781,111.16999816894531,1.2477186512842884,5.7012698841958,-2.3406189648398876,False,False,12,67.2754575754094,7.331378080414562,9.257104804735205,0.7951186405787125
SNPS,2025-12-20,True,PASS,481.239990234375,525.1799926757812,9.130580029312704,9.907737021721738,-2.7886258794952616,False,False,12,64.6999095473287,22.31909086579386,10.47176848182175,0.8248534106358894
CRM,2025-12-20,True,PASS,264.6300048828125,259.94000244140625,-1.7722867229221224,1.69292233914816,-4.655559496994486,False,False,12,79.3679289570109,10.495729301266527,6.998749821558647,0.59287776305405
TEAM,2025-12-20,True,PASS,164.4499969482422,146.4199981689453,-10.963818251070876,0.9425375983714062,-12.976586642690558,False,False,12,69.50405555056719,4.1943832226991375,4.426089867324266,0.5807910417138179
TSM,2025-12-20,True,PASS,293.2799987792969,323.6300048828125,10.348474573731512,13.57064510318673,-0.7058126475840927,True,False,12,51.37838487848172,2.642843624249099,0.49144401460162235,0.5177600424333557
ASML,2025-12-20,True,PASS,1056.97998046875,1273.8800048828125,20.520731558025496,21.288957566770375,-0.6603701676217666,True,True,12,40.62815682917532,3.935253857714556,1.0183662530967197,0.49070813430494054
NXPI,2025-12-20,True,PASS,228.94000244140625,241.14999389648438,5.3332713046524445,7.840480805811216,-5.267754621292243,False,False,12,65.78285449413556,12.418116716702496,8.330019962850477,0.5284622019845205
ADI,2025-12-20,True,PASS,275.82000732421875,300.92999267578125,9.103757771294092,9.926765338175075,-1.9433020545315538,False,False,12,54.56004861325149,21.145909721930874,10.38880988873425,0.7202839580988659
TXN,2025-12-20,True,PASS,178.82000732421875,190.30999755859375,6.425450041248733,7.8850186037415,-3.008614619424552,False,False,12,56.15493264658225,11.379634958070408,5.818353805373082,0.719523112224367
DIS,2025-12-20,True,PASS,112.37999725341797,115.87999725341797,3.114433249279644,3.2479103177482003,-1.0944970258055893,False,False,12,78.86107466945087,2.167552508027298,3.344505573258734,0.7320429814247201
ADBE,2025-12-20,True,PASS,357.5299987792969,333.95001220703125,-6.59524701501245,0.5985552696959927,-8.416075977016174,False,False,12,75.3578772672544,9.353107640473727,5.924834194405512,0.6173104628785999
PLTR,2025-12-20,True,PASS,193.97999572753906,177.49000549316406,-8.50087153189577,2.5260383870488923,-14.243731432406074,False,False,12,71.53689356746139,9.020403367859208,7.586337739135263,0.9548815475504904
DASH,2025-12-20,True,PASS,234.88999938964844,215.55999755859375,-8.229384767884058,0.4640454428553508,-9.527866210126435,False,False,12,66.53128966453207,14.967452496926734,2.6815939454548388,0.7141216799822232
ABNB,2025-12-20,True,PASS,136.9499969482422,139.27000427246094,1.69405430881138,3.2493589247205206,-3.3661925615769315,False,False,12,89.98700323761587,13.294176091958695,10.653073108315162,1.0691751441068829
RIVN,2025-12-15,True,PASS,18.700000762939453,19.219999313354492,2.7807407978592003,21.33689630123296,-5.882354741127922,True,True,17,75.25037717227079,37.80398808757443,24.51061835592913,1.3844180085583417
